song-name	url
We Might Play All Night	https://www.allmusicals.com/lyrics/passingstrange/wemightplayallnight.htm
Baptist Fashion Show	https://www.allmusicals.com/lyrics/passingstrange/baptistfashionshow.htm
Church Blues Revelation/Freight Train	https://www.allmusicals.com/lyrics/passingstrange/churchbluesrevelationfreighttrain.htm
Arlington Hill	https://www.allmusicals.com/lyrics/passingstrange/arlingtonhill.htm
Sole Brother	https://www.allmusicals.com/lyrics/passingstrange/solebrother.htm
Must Have Been High	https://www.allmusicals.com/lyrics/passingstrange/musthavebeenhigh.htm
Mom Song	https://www.allmusicals.com/lyrics/passingstrange/momsong.htm
Merci Beaucoup, M. Godard	https://www.allmusicals.com/lyrics/passingstrange/mercibeaucoupmgodard.htm
Amsterdam	https://www.allmusicals.com/lyrics/passingstrange/amsterdam.htm
Keys (Marianna) / Keys (It's Alright)	https://www.allmusicals.com/lyrics/passingstrange/keysmariannakeysitsalright.htm
We Just Had Sex	https://www.allmusicals.com/lyrics/passingstrange/wejusthadsex.htm
Stoned	https://www.allmusicals.com/lyrics/passingstrange/stoned.htm
Berlin: A Black Hole with Taxis	https://www.allmusicals.com/lyrics/passingstrange/berlinablackholewithtaxis.htm
There's a Riot Goin' Down	https://www.allmusicals.com/lyrics/passingstrange/theresariotgoindown.htm
What's Inside Is Just a Lie/And Now I'm Ready to Explode	https://www.allmusicals.com/lyrics/passingstrange/whatsinsideisjustalieandnowimreadytoexplode.htm
Identity	https://www.allmusicals.com/lyrics/passingstrange/identity.htm
Black One	https://www.allmusicals.com/lyrics/passingstrange/blackone.htm
Come Down Now	https://www.allmusicals.com/lyrics/passingstrange/comedownnow.htm
Youth's Unfinished Song	https://www.allmusicals.com/lyrics/passingstrange/youthsunfinishedsong.htm
Work the Wound	https://www.allmusicals.com/lyrics/passingstrange/workthewound.htm
Passing Phase	https://www.allmusicals.com/lyrics/passingstrange/passingphase.htm
Cue Music	https://www.allmusicals.com/lyrics/passingstrange/cuemusic.htm
Love Like That	https://www.allmusicals.com/lyrics/passingstrange/lovelikethat.htm
