song-name	url
Happiness	https://www.allmusicals.com/lyrics/passion/happiness.htm
First Letter	https://www.allmusicals.com/lyrics/passion/firstletter.htm
Second Letter	https://www.allmusicals.com/lyrics/passion/secondletter.htm
Third Letter	https://www.allmusicals.com/lyrics/passion/thirdletter.htm
Fourth Letter	https://www.allmusicals.com/lyrics/passion/fourthletter.htm
I Read	https://www.allmusicals.com/lyrics/passion/iread.htm
Transition	https://www.allmusicals.com/lyrics/passion/transition.htm
Garden Sequence	https://www.allmusicals.com/lyrics/passion/gardensequence.htm
Transition 2	https://www.allmusicals.com/lyrics/passion/transition2.htm
Trio	https://www.allmusicals.com/lyrics/passion/trio.htm
Transition 3	https://www.allmusicals.com/lyrics/passion/transition3.htm
I Wish I Could Forget You	https://www.allmusicals.com/lyrics/passion/iwishicouldforgetyou.htm
Soldiers' Gossip 1	https://www.allmusicals.com/lyrics/passion/soldiersgossip1.htm
Flashback	https://www.allmusicals.com/lyrics/passion/flashback.htm
Sunrise Letter	https://www.allmusicals.com/lyrics/passion/sunriseletter.htm
Is This What You Call Love?	https://www.allmusicals.com/lyrics/passion/isthiswhatyoucalllove.htm
Soldiers' Gossip 2	https://www.allmusicals.com/lyrics/passion/soldiersgossip2.htm
Forty Days	https://www.allmusicals.com/lyrics/passion/fortydays.htm
Loving You	https://www.allmusicals.com/lyrics/passion/lovingyou.htm
Transition 5	https://www.allmusicals.com/lyrics/passion/transition5.htm
Soldiers' Gossip 3	https://www.allmusicals.com/lyrics/passion/soldiersgossip3.htm
Farewell Letter	https://www.allmusicals.com/lyrics/passion/farewellletter.htm
No One Has Ever Loved Me	https://www.allmusicals.com/lyrics/passion/noonehaseverlovedme.htm
Finale	https://www.allmusicals.com/lyrics/passion/finale.htm
