song-name	url
Overture	https://www.allmusicals.com/lyrics/peterpan/overture.htm
Tender Shepherd	https://www.allmusicals.com/lyrics/peterpan/tendershepherd.htm
Peter Arrives at the Darling House	https://www.allmusicals.com/lyrics/peterpan/peterarrivesatthedarlinghouse.htm
I've Got to Crow	https://www.allmusicals.com/lyrics/peterpan/ivegottocrow.htm
Never Never Land	https://www.allmusicals.com/lyrics/peterpan/neverneverland.htm
I'm Flying	https://www.allmusicals.com/lyrics/peterpan/imflying.htm
Journey to Neverland	https://www.allmusicals.com/lyrics/peterpan/journeytoneverland.htm
Pirate Song	https://www.allmusicals.com/lyrics/peterpan/piratesong.htm
Hook's Tango	https://www.allmusicals.com/lyrics/peterpan/hookstango.htm
Indians!	https://www.allmusicals.com/lyrics/peterpan/indians.htm
Wendy	https://www.allmusicals.com/lyrics/peterpan/wendy.htm
Tarantella	https://www.allmusicals.com/lyrics/peterpan/tarantella.htm
I Won't Grow Up	https://www.allmusicals.com/lyrics/peterpan/iwontgrowup.htm
Oh, My Mysterious Lady	https://www.allmusicals.com/lyrics/peterpan/ohmymysteriouslady.htm
Ugg-a-Wugg/The Pow Wow Polka	https://www.allmusicals.com/lyrics/peterpan/uggawuggthepowwowpolka.htm
Distant Melody	https://www.allmusicals.com/lyrics/peterpan/distantmelody.htm
Captain Hook's Waltz	https://www.allmusicals.com/lyrics/peterpan/captainhookswaltz.htm
Captain Hook's Waltz (Reprise)	https://www.allmusicals.com/lyrics/peterpan/captainhookswaltzreprise.htm
Pirate Ship Duel	https://www.allmusicals.com/lyrics/peterpan/pirateshipduel.htm
I Gotta Crow (Reprise)	https://www.allmusicals.com/lyrics/peterpan/igottacrowreprise.htm
Tender Shepherd (Reprise)	https://www.allmusicals.com/lyrics/peterpan/tendershepherdreprise.htm
We Will Grow Up	https://www.allmusicals.com/lyrics/peterpan/wewillgrowup.htm
Finale: Never Never Land	https://www.allmusicals.com/lyrics/peterpan/finaleneverneverland.htm
