song-name	url
Prologue	https://www.allmusicals.com/lyrics/phantomoftheoperathe/prologue.htm
Overture/Hannibal	https://www.allmusicals.com/lyrics/phantomoftheoperathe/overturehannibal.htm
Think of Me	https://www.allmusicals.com/lyrics/phantomoftheoperathe/thinkofme.htm
Angel of Music	https://www.allmusicals.com/lyrics/phantomoftheoperathe/angelofmusic.htm
Little Lotte/The Mirror	https://www.allmusicals.com/lyrics/phantomoftheoperathe/littlelottethemirror.htm
The Phantom of the Opera	https://www.allmusicals.com/lyrics/phantomoftheoperathe/thephantomoftheopera.htm
Music of the Night	https://www.allmusicals.com/lyrics/phantomoftheoperathe/musicofthenight.htm
Magical Lasso	https://www.allmusicals.com/lyrics/phantomoftheoperathe/magicallasso.htm
I Remember/Stranger Than You Dreamt It	https://www.allmusicals.com/lyrics/phantomoftheoperathe/irememberstrangerthanyoudreamtit.htm
Notes/Prima Donna	https://www.allmusicals.com/lyrics/phantomoftheoperathe/notesprimadonna.htm
Poor Fool, He Makes Me Laugh/Il Muto	https://www.allmusicals.com/lyrics/phantomoftheoperathe/poorfoolhemakesmelaughilmuto.htm
Why Have You Brought Me Here/Raoul I've Been There	https://www.allmusicals.com/lyrics/phantomoftheoperathe/whyhaveyoubroughtmehereraoulivebeenthere.htm
All I Ask of You	https://www.allmusicals.com/lyrics/phantomoftheoperathe/alliaskofyou.htm
All I Ask of You (Reprise)	https://www.allmusicals.com/lyrics/phantomoftheoperathe/alliaskofyoureprise.htm
Masquerade / Why So Silent?	https://www.allmusicals.com/lyrics/phantomoftheoperathe/masqueradewhysosilent.htm
Madame Giry's Tale/The Fairground	https://www.allmusicals.com/lyrics/phantomoftheoperathe/madamegirystalethefairground.htm
Journey to the Cemetery	https://www.allmusicals.com/lyrics/phantomoftheoperathe/journeytothecemetery.htm
Wishing You Were Somehow Here Again	https://www.allmusicals.com/lyrics/phantomoftheoperathe/wishingyouweresomehowhereagain.htm
Wandering Child	https://www.allmusicals.com/lyrics/phantomoftheoperathe/wanderingchild.htm
The Swordfight	https://www.allmusicals.com/lyrics/phantomoftheoperathe/theswordfight.htm
We Hall All Been Blind	https://www.allmusicals.com/lyrics/phantomoftheoperathe/wehallallbeenblind.htm
A Rehearsal for Don Juan Triumphant	https://www.allmusicals.com/lyrics/phantomoftheoperathe/arehearsalfordonjuantriumphant.htm
Point of No Return/Chandelier Crash	https://www.allmusicals.com/lyrics/phantomoftheoperathe/pointofnoreturnchandeliercrash.htm
Down Once More/Track Down This Murderer	https://www.allmusicals.com/lyrics/phantomoftheoperathe/downoncemoretrackdownthismurderer.htm
Learn to Be Lonely	https://www.allmusicals.com/lyrics/phantomoftheoperathe/learntobelonely.htm
