song-name	url
Magic To Do	https://www.allmusicals.com/lyrics/pippin/magictodo.htm
Corner Of The Sky	https://www.allmusicals.com/lyrics/pippin/cornerofthesky.htm
Welcome Home	https://www.allmusicals.com/lyrics/pippin/welcomehome.htm
War Is A Science	https://www.allmusicals.com/lyrics/pippin/warisascience.htm
Glory	https://www.allmusicals.com/lyrics/pippin/glory.htm
Simple Joys	https://www.allmusicals.com/lyrics/pippin/simplejoys.htm
No Time At All	https://www.allmusicals.com/lyrics/pippin/notimeatall.htm
With You	https://www.allmusicals.com/lyrics/pippin/withyou.htm
Spread A Little Sunshine	https://www.allmusicals.com/lyrics/pippin/spreadalittlesunshine.htm
Morning Glow	https://www.allmusicals.com/lyrics/pippin/morningglow.htm
On The Right Track	https://www.allmusicals.com/lyrics/pippin/ontherighttrack.htm
And There He Was	https://www.allmusicals.com/lyrics/pippin/andtherehewas.htm
Kind Of Woman	https://www.allmusicals.com/lyrics/pippin/kindofwoman.htm
Extraordinary	https://www.allmusicals.com/lyrics/pippin/extraordinary.htm
Prayer for a Duck	https://www.allmusicals.com/lyrics/pippin/prayerforaduck.htm
Love Song	https://www.allmusicals.com/lyrics/pippin/lovesong.htm
I Guess I'll Miss The Man	https://www.allmusicals.com/lyrics/pippin/iguessillmisstheman.htm
Finale	https://www.allmusicals.com/lyrics/pippin/finale.htm
