song-name	url
Prologue	https://www.allmusicals.com/lyrics/piratequeenthe/prologue.htm
The Pirate Queen	https://www.allmusicals.com/lyrics/piratequeenthe/thepiratequeen.htm
Woman	https://www.allmusicals.com/lyrics/piratequeenthe/woman.htm
My Grace	https://www.allmusicals.com/lyrics/piratequeenthe/mygrace.htm
Here On This Night	https://www.allmusicals.com/lyrics/piratequeenthe/hereonthisnight.htm
The Waking Of the Queen	https://www.allmusicals.com/lyrics/piratequeenthe/thewakingofthequeen.htm
Rah-Rah, Tip-Top	https://www.allmusicals.com/lyrics/piratequeenthe/rahrahtiptop.htm
The Choice Is Mine	https://www.allmusicals.com/lyrics/piratequeenthe/thechoiceismine.htm
Boys'll Be Boys	https://www.allmusicals.com/lyrics/piratequeenthe/boysllbeboys.htm
The Wedding	https://www.allmusicals.com/lyrics/piratequeenthe/thewedding.htm
I'll Be There	https://www.allmusicals.com/lyrics/piratequeenthe/illbethere.htm
A Day Beyond Belclare	https://www.allmusicals.com/lyrics/piratequeenthe/adaybeyondbelclare.htm
Sail To the Stars	https://www.allmusicals.com/lyrics/piratequeenthe/sailtothestars.htm
Entr'Acte	https://www.allmusicals.com/lyrics/piratequeenthe/entracte.htm
Enemy At Port Side	https://www.allmusicals.com/lyrics/piratequeenthe/enemyatportside.htm
I Dismiss You	https://www.allmusicals.com/lyrics/piratequeenthe/idismissyou.htm
If I Said I Loved You	https://www.allmusicals.com/lyrics/piratequeenthe/ifisaidilovedyou.htm
The Role Of the Queen	https://www.allmusicals.com/lyrics/piratequeenthe/theroleofthequeen.htm
The Christening	https://www.allmusicals.com/lyrics/piratequeenthe/thechristening.htm
Let a Father Stand By His Son	https://www.allmusicals.com/lyrics/piratequeenthe/letafatherstandbyhisson.htm
Surrender	https://www.allmusicals.com/lyrics/piratequeenthe/surrender.htm
She Who Has All	https://www.allmusicals.com/lyrics/piratequeenthe/shewhohasall.htm
The Sea Of Life	https://www.allmusicals.com/lyrics/piratequeenthe/theseaoflife.htm
Woman To Woman	https://www.allmusicals.com/lyrics/piratequeenthe/womantowoman.htm
Finale	https://www.allmusicals.com/lyrics/piratequeenthe/finale.htm
