song-name	url
Pour, O Pour the Pirate Sherry	https://www.allmusicals.com/lyrics/piratesofpenzancethe/pouropourthepiratesherry.htm
When Frederic Was a Little Lad	https://www.allmusicals.com/lyrics/piratesofpenzancethe/whenfredericwasalittlelad.htm
Oh, Better Far to Live and Die	https://www.allmusicals.com/lyrics/piratesofpenzancethe/ohbetterfartoliveanddie.htm
Oh! False One, You Have Deceived Me	https://www.allmusicals.com/lyrics/piratesofpenzancethe/ohfalseoneyouhavedeceivedme.htm
Climbing over Rocky Mountain	https://www.allmusicals.com/lyrics/piratesofpenzancethe/climbingoverrockymountain.htm
Stop, Ladies, Pray!	https://www.allmusicals.com/lyrics/piratesofpenzancethe/stopladiespray.htm
Oh Is There Not One Maiden Breast?	https://www.allmusicals.com/lyrics/piratesofpenzancethe/ohistherenotonemaidenbreast.htm
Poor Wandering One	https://www.allmusicals.com/lyrics/piratesofpenzancethe/poorwanderingone.htm
What Ought We to Do?	https://www.allmusicals.com/lyrics/piratesofpenzancethe/whatoughtwetodo.htm
How Beautifully Blue the Sky	https://www.allmusicals.com/lyrics/piratesofpenzancethe/howbeautifullybluethesky.htm
Stay, We Must Not Lose Our Senses	https://www.allmusicals.com/lyrics/piratesofpenzancethe/staywemustnotloseoursenses.htm
Hold, Monsters!	https://www.allmusicals.com/lyrics/piratesofpenzancethe/holdmonsters.htm
I Am the Very Model of a Modern Major-General	https://www.allmusicals.com/lyrics/piratesofpenzancethe/iamtheverymodelofamodernmajorgeneral.htm
Finale Act I	https://www.allmusicals.com/lyrics/piratesofpenzancethe/finaleacti.htm
Oh, Dry the Glistening Tear	https://www.allmusicals.com/lyrics/piratesofpenzancethe/ohdrytheglisteningtear.htm
Now, Frederic, Let Your Escort Lion-Hearted When the Foeman Bares His Steel	https://www.allmusicals.com/lyrics/piratesofpenzancethe/nowfredericletyourescortlionheartedwhenthefoemanbareshissteel.htm
Now for the Pirates' Lair!	https://www.allmusicals.com/lyrics/piratesofpenzancethe/nowforthepirateslair.htm
When You Had Left Our Pirate Fold	https://www.allmusicals.com/lyrics/piratesofpenzancethe/whenyouhadleftourpiratefold.htm
Away, Away! My Heart's on Fire	https://www.allmusicals.com/lyrics/piratesofpenzancethe/awayawaymyheartsonfire.htm
All Is Prepared / Stay, Frederic, Stay!	https://www.allmusicals.com/lyrics/piratesofpenzancethe/allispreparedstayfredericstay.htm
No, I'll be brave	https://www.allmusicals.com/lyrics/piratesofpenzancethe/noillbebrave.htm
When a Felon's Not Engaged in His Employment	https://www.allmusicals.com/lyrics/piratesofpenzancethe/whenafelonsnotengagedinhisemployment.htm
A Rollicking Ban of Pirates We	https://www.allmusicals.com/lyrics/piratesofpenzancethe/arollickingbanofpirateswe.htm
With Cat-Like Tread	https://www.allmusicals.com/lyrics/piratesofpenzancethe/withcatliketread.htm
Hush, Hush! Not a Word / Sighing Softly to the River	https://www.allmusicals.com/lyrics/piratesofpenzancethe/hushhushnotawordsighingsoftlytotheriver.htm
Finale	https://www.allmusicals.com/lyrics/piratesofpenzancethe/finale.htm
