song-name	url
"Take the ""A"" Train"	https://www.allmusicals.com/lyrics/playon/taketheatrain.htm
Drop Me off in Harlem	https://www.allmusicals.com/lyrics/playon/dropmeoffinharlem.htm
I've Got to Be a Rug Cutter	https://www.allmusicals.com/lyrics/playon/ivegottobearugcutter.htm
I Let a Song Go Out of My Heart	https://www.allmusicals.com/lyrics/playon/iletasonggooutofmyheart.htm
C Jam Blues	https://www.allmusicals.com/lyrics/playon/cjamblues.htm
Mood Indigo	https://www.allmusicals.com/lyrics/playon/moodindigo.htm
Don't Get Around Much Anymore	https://www.allmusicals.com/lyrics/playon/dontgetaroundmuchanymore.htm
Don't You Know I Care	https://www.allmusicals.com/lyrics/playon/dontyouknowicare.htm
It Don't Mean a Thing	https://www.allmusicals.com/lyrics/playon/itdontmeanathing.htm
I Got It Bad (And That Ain't Good)	https://www.allmusicals.com/lyrics/playon/igotitbadandthataintgood.htm
Hit Me With a Hot Note (And Watch Me Bounce)	https://www.allmusicals.com/lyrics/playon/hitmewithahotnoteandwatchmebounce.htm
I'm Just a Lucky So and So	https://www.allmusicals.com/lyrics/playon/imjustaluckysoandso.htm
Everything But You	https://www.allmusicals.com/lyrics/playon/everythingbutyou.htm
Solitude	https://www.allmusicals.com/lyrics/playon/solitude.htm
Black Butterfly	https://www.allmusicals.com/lyrics/playon/blackbutterfly.htm
I Ain't Got Nothin' But the Blues	https://www.allmusicals.com/lyrics/playon/iaintgotnothinbuttheblues.htm
I'm Beginning to See the Light	https://www.allmusicals.com/lyrics/playon/imbeginningtoseethelight.htm
I Got It Bad and That Ain't Good (Reprise)	https://www.allmusicals.com/lyrics/playon/igotitbadandthataintgoodreprise.htm
I Didn't Know About You	https://www.allmusicals.com/lyrics/playon/ididntknowaboutyou.htm
Rocks in My Bed	https://www.allmusicals.com/lyrics/playon/rocksinmybed.htm
Something to Live For	https://www.allmusicals.com/lyrics/playon/somethingtolivefor.htm
Love You Madly	https://www.allmusicals.com/lyrics/playon/loveyoumadly.htm
Prelude to a Kiss	https://www.allmusicals.com/lyrics/playon/preludetoakiss.htm
In a Mellow Tone	https://www.allmusicals.com/lyrics/playon/inamellowtone.htm
