song-name	url
The Virginia Company	https://www.allmusicals.com/lyrics/pocahontas/thevirginiacompany.htm
Ship at Sea	https://www.allmusicals.com/lyrics/pocahontas/shipatsea.htm
The Virginia Company (Reprise)	https://www.allmusicals.com/lyrics/pocahontas/thevirginiacompanyreprise.htm
Steady As The Beating Drum	https://www.allmusicals.com/lyrics/pocahontas/steadyasthebeatingdrum.htm
Steady as the Beating Drum (Reprise)	https://www.allmusicals.com/lyrics/pocahontas/steadyasthebeatingdrumreprise.htm
Just Around The River Bend	https://www.allmusicals.com/lyrics/pocahontas/justaroundtheriverbend.htm
Grandmother Willow	https://www.allmusicals.com/lyrics/pocahontas/grandmotherwillow.htm
Listen With Your Heart I	https://www.allmusicals.com/lyrics/pocahontas/listenwithyourhearti.htm
Mine, Mine, Mine	https://www.allmusicals.com/lyrics/pocahontas/mineminemine.htm
Listen With Your Heart II	https://www.allmusicals.com/lyrics/pocahontas/listenwithyourheartii.htm
Colors Of The Wind	https://www.allmusicals.com/lyrics/pocahontas/colorsofthewind.htm
Savages (Part 1)	https://www.allmusicals.com/lyrics/pocahontas/savagespart1.htm
Savages (Part 2)	https://www.allmusicals.com/lyrics/pocahontas/savagespart2.htm
I'll Never See Him Again	https://www.allmusicals.com/lyrics/pocahontas/illneverseehimagain.htm
Pocahontas	https://www.allmusicals.com/lyrics/pocahontas/pocahontas.htm
Council Meeting	https://www.allmusicals.com/lyrics/pocahontas/councilmeeting.htm
Percy's Bath	https://www.allmusicals.com/lyrics/pocahontas/percysbath.htm
River's Edge	https://www.allmusicals.com/lyrics/pocahontas/riversedge.htm
Skirmish	https://www.allmusicals.com/lyrics/pocahontas/skirmish.htm
Getting Acquainted	https://www.allmusicals.com/lyrics/pocahontas/gettingacquainted.htm
Ratcliffe's Plan	https://www.allmusicals.com/lyrics/pocahontas/ratcliffesplan.htm
Picking Corn	https://www.allmusicals.com/lyrics/pocahontas/pickingcorn.htm
The Warriors Arrive	https://www.allmusicals.com/lyrics/pocahontas/thewarriorsarrive.htm
John Smith Sneaks Out	https://www.allmusicals.com/lyrics/pocahontas/johnsmithsneaksout.htm
Execution	https://www.allmusicals.com/lyrics/pocahontas/execution.htm
Farewell	https://www.allmusicals.com/lyrics/pocahontas/farewell.htm
Colors of the Wind (End Title)	https://www.allmusicals.com/lyrics/pocahontas/colorsofthewindendtitle.htm
If I Never Knew You (End Title)	https://www.allmusicals.com/lyrics/pocahontas/ifineverknewyouendtitle.htm
