song-name	url
Welcome to Hollywood	https://www.allmusicals.com/lyrics/prettywoman/welcometohollywood.htm
Anywhere but Here	https://www.allmusicals.com/lyrics/prettywoman/anywherebuthere.htm
Something About Her (Preamble)	https://www.allmusicals.com/lyrics/prettywoman/somethingaboutherpreamble.htm
Something About Her	https://www.allmusicals.com/lyrics/prettywoman/somethingabouther.htm
Luckiest Girl in the World	https://www.allmusicals.com/lyrics/prettywoman/luckiestgirlintheworld.htm
Rodeo Drive	https://www.allmusicals.com/lyrics/prettywoman/rodeodrive.htm
Anywhere but Here (Reprise)	https://www.allmusicals.com/lyrics/prettywoman/anywherebutherereprise.htm
On a Night like Tonight	https://www.allmusicals.com/lyrics/prettywoman/onanightliketonight.htm
Don't Forget to Dance	https://www.allmusicals.com/lyrics/prettywoman/dontforgettodance.htm
Freedom	https://www.allmusicals.com/lyrics/prettywoman/freedom.htm
You're Beautiful	https://www.allmusicals.com/lyrics/prettywoman/yourebeautiful.htm
Welcome to Our World (More Champagne)	https://www.allmusicals.com/lyrics/prettywoman/welcometoourworldmorechampagne.htm
This Is My Life	https://www.allmusicals.com/lyrics/prettywoman/thisismylife.htm
Never Give Up on a Dream	https://www.allmusicals.com/lyrics/prettywoman/nevergiveuponadream.htm
You and I	https://www.allmusicals.com/lyrics/prettywoman/youandi.htm
I Can't Go Back	https://www.allmusicals.com/lyrics/prettywoman/icantgoback.htm
Freedom (Reprise)	https://www.allmusicals.com/lyrics/prettywoman/freedomreprise.htm
Long Way Home	https://www.allmusicals.com/lyrics/prettywoman/longwayhome.htm
Together Forever	https://www.allmusicals.com/lyrics/prettywoman/togetherforever.htm
