song-name	url
Overture	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/overture.htm
Downtown	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/downtown.htm
I've Never Been To Me	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/iveneverbeentome.htm
What's Love Got To Do With It	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/whatslovegottodowithit.htm
Don't Leave Me This Way	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/dontleavemethisway.htm
Venus	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/venus.htm
Go West	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/gowest.htm
I Say A Little Prayer	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/isayalittleprayer.htm
I Love The Nightlife	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/ilovethenightlife.htm
Both Sides Now	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/bothsidesnow.htm
Follie! Delirio vano è questo! Sempre libera	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/folliedeliriovanoquestosemprelibera.htm
Colour My World	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/colourmyworld.htm
I Will Survive	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/iwillsurvive.htm
Thank God I'm A Country Boy	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/thankgodimacountryboy.htm
A Fine Romance	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/afineromance.htm
Shake Your Groove Thing	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/shakeyourgroovething.htm
Pop Musik	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/popmusik.htm
A Fine Romance (Reprise)	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/afineromancereprise.htm
Girls Just Wanna Have Fun	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/girlsjustwannahavefun.htm
Hot Stuff	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/hotstuff.htm
MacArthur Park	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/macarthurpark.htm
Boogie Wonderland	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/boogiewonderland.htm
The Morning After	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/themorningafter.htm
Always On My Mind	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/alwaysonmymind.htm
Confide in Me	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/confideinme.htm
We Belong	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/webelong.htm
It's Raining Men	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/itsrainingmen.htm
Material Girl	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/materialgirl.htm
True Colors	https://www.allmusicals.com/lyrics/priscillaqueenofthedesert/truecolors.htm
