song-name	url
Overture and Opening Night	https://www.allmusicals.com/lyrics/producers/overtureandopeningnight.htm
The King of Broadway	https://www.allmusicals.com/lyrics/producers/thekingofbroadway.htm
We Can Do It	https://www.allmusicals.com/lyrics/producers/wecandoit.htm
Unhappy	https://www.allmusicals.com/lyrics/producers/unhappy.htm
I Wanna Be a Producer	https://www.allmusicals.com/lyrics/producers/iwannabeaproducer.htm
In Old Bavaria	https://www.allmusicals.com/lyrics/producers/inoldbavaria.htm
Der Guten Tag Hop-Clop	https://www.allmusicals.com/lyrics/producers/dergutentaghopclop.htm
Keep It Gay	https://www.allmusicals.com/lyrics/producers/keepitgay.htm
When You Got It, Flaunt It	https://www.allmusicals.com/lyrics/producers/whenyougotitflauntit.htm
Along Came Bialy	https://www.allmusicals.com/lyrics/producers/alongcamebialy.htm
That Face	https://www.allmusicals.com/lyrics/producers/thatface.htm
Haben Sie Gehort Das Deutsche Band ?	https://www.allmusicals.com/lyrics/producers/habensiegehortdasdeutscheband.htm
It's Bad Luck to Say Good Luck on Op'ning Night	https://www.allmusicals.com/lyrics/producers/itsbadlucktosaygoodluckonopningnight.htm
Springtime For Hitler	https://www.allmusicals.com/lyrics/producers/springtimeforhitler.htm
Where Did We Go Right?	https://www.allmusicals.com/lyrics/producers/wheredidwegoright.htm
Betrayed	https://www.allmusicals.com/lyrics/producers/betrayed.htm
'Til Him	https://www.allmusicals.com/lyrics/producers/tilhim.htm
Prisoners Of Love (Leo & Max)	https://www.allmusicals.com/lyrics/producers/prisonersofloveleomax.htm
Goodbye!	https://www.allmusicals.com/lyrics/producers/goodbye.htm
