song-name	url
Overture	https://www.allmusicals.com/lyrics/promisespromises/overture.htm
Half As Big As Life	https://www.allmusicals.com/lyrics/promisespromises/halfasbigaslife.htm
Grapes Of Roth	https://www.allmusicals.com/lyrics/promisespromises/grapesofroth.htm
Upstairs	https://www.allmusicals.com/lyrics/promisespromises/upstairs.htm
You'll Think Of Someone	https://www.allmusicals.com/lyrics/promisespromises/youllthinkofsomeone.htm
Our Little Secret	https://www.allmusicals.com/lyrics/promisespromises/ourlittlesecret.htm
I Say A Little Prayer	https://www.allmusicals.com/lyrics/promisespromises/isayalittleprayer.htm
She Likes Basketball	https://www.allmusicals.com/lyrics/promisespromises/shelikesbasketball.htm
Knowing When To Leave	https://www.allmusicals.com/lyrics/promisespromises/knowingwhentoleave.htm
Where Can You Take A Girl?	https://www.allmusicals.com/lyrics/promisespromises/wherecanyoutakeagirl.htm
Wanting Things	https://www.allmusicals.com/lyrics/promisespromises/wantingthings.htm
Turkey Lurkey Time	https://www.allmusicals.com/lyrics/promisespromises/turkeylurkeytime.htm
A House Is Not a Home	https://www.allmusicals.com/lyrics/promisespromises/ahouseisnotahome.htm
A Fact Can Be A Beautiful Thing	https://www.allmusicals.com/lyrics/promisespromises/afactcanbeabeautifulthing.htm
Whoever You Are	https://www.allmusicals.com/lyrics/promisespromises/whoeveryouare.htm
Christmas Day	https://www.allmusicals.com/lyrics/promisespromises/christmasday.htm
A House Is Not A Home (reprise)	https://www.allmusicals.com/lyrics/promisespromises/ahouseisnotahomereprise.htm
A Young Pretty Girl Like You	https://www.allmusicals.com/lyrics/promisespromises/ayoungprettygirllikeyou.htm
I'll Never Fall In Love Again	https://www.allmusicals.com/lyrics/promisespromises/illneverfallinloveagain.htm
Promises, Promises	https://www.allmusicals.com/lyrics/promisespromises/promisespromises.htm
I'll Never Fall In Love Again (reprise)	https://www.allmusicals.com/lyrics/promisespromises/illneverfallinloveagainreprise.htm
