song-name	url
Violet Delight	https://www.allmusicals.com/lyrics/promnight/violetdelight.htm
Violet Delight (Reprise)	https://www.allmusicals.com/lyrics/promnight/violetdelightreprise.htm
Come With Me	https://www.allmusicals.com/lyrics/promnight/comewithme.htm
Come With Me (Reprise)	https://www.allmusicals.com/lyrics/promnight/comewithmereprise.htm
Trash	https://www.allmusicals.com/lyrics/promnight/trash.htm
Night to Remember	https://www.allmusicals.com/lyrics/promnight/nighttoremember.htm
Youre The Freak	https://www.allmusicals.com/lyrics/promnight/yourethefreak.htm
Cheerleaders A Bitch	https://www.allmusicals.com/lyrics/promnight/cheerleadersabitch.htm
Isn't Easy To Be Me	https://www.allmusicals.com/lyrics/promnight/isnteasytobeme.htm
Together	https://www.allmusicals.com/lyrics/promnight/together.htm
Fly To You	https://www.allmusicals.com/lyrics/promnight/flytoyou.htm
Why Is The Cheerleader Always The Bitch	https://www.allmusicals.com/lyrics/promnight/whyisthecheerleaderalwaysthebitch.htm
You're the Freak (Reprise)	https://www.allmusicals.com/lyrics/promnight/yourethefreakreprise.htm
Little Starr	https://www.allmusicals.com/lyrics/promnight/littlestarr.htm
