song-name	url
Reefer Madness!	https://www.allmusicals.com/lyrics/reefermadness/reefermadness.htm
Romeo & Juliet	https://www.allmusicals.com/lyrics/reefermadness/romeojuliet.htm
The Stuff	https://www.allmusicals.com/lyrics/reefermadness/thestuff.htm
Down at the Ol' Five and Dime	https://www.allmusicals.com/lyrics/reefermadness/downattheolfiveanddime.htm
Jimmy Takes a Hit	https://www.allmusicals.com/lyrics/reefermadness/jimmytakesahit.htm
The Orgy	https://www.allmusicals.com/lyrics/reefermadness/theorgy.htm
Lonely Pew	https://www.allmusicals.com/lyrics/reefermadness/lonelypew.htm
Listen to Jesus, Jimmy	https://www.allmusicals.com/lyrics/reefermadness/listentojesusjimmy.htm
Dead Old Man	https://www.allmusicals.com/lyrics/reefermadness/deadoldman.htm
Act One Finale	https://www.allmusicals.com/lyrics/reefermadness/actonefinale.htm
Jimmy On the Lam	https://www.allmusicals.com/lyrics/reefermadness/jimmyonthelam.htm
The Brownie Song	https://www.allmusicals.com/lyrics/reefermadness/thebrowniesong.htm
Five and Dime (Reprise)	https://www.allmusicals.com/lyrics/reefermadness/fiveanddimereprise.htm
Little Mary Sunshine	https://www.allmusicals.com/lyrics/reefermadness/littlemarysunshine.htm
Mary's Death	https://www.allmusicals.com/lyrics/reefermadness/marysdeath.htm
Murder	https://www.allmusicals.com/lyrics/reefermadness/murder.htm
The Stuff (Reprise)	https://www.allmusicals.com/lyrics/reefermadness/thestuffreprise.htm
Listen to Jesus, Jimmy (Reprise)	https://www.allmusicals.com/lyrics/reefermadness/listentojesusjimmyreprise.htm
Tell 'Em the Truth	https://www.allmusicals.com/lyrics/reefermadness/tellemthetruth.htm
Reefer Madness (Reprise)	https://www.allmusicals.com/lyrics/reefermadness/reefermadnessreprise.htm
