song-name	url
Tune Up 1	https://www.allmusicals.com/lyrics/rent/tuneup1.htm
Voice Mail 1	https://www.allmusicals.com/lyrics/rent/voicemail1.htm
Tune Up 2	https://www.allmusicals.com/lyrics/rent/tuneup2.htm
Rent	https://www.allmusicals.com/lyrics/rent/rent.htm
You Okay Honey?	https://www.allmusicals.com/lyrics/rent/youokayhoney.htm
Tune Up 3	https://www.allmusicals.com/lyrics/rent/tuneup3.htm
One Song Glory	https://www.allmusicals.com/lyrics/rent/onesongglory.htm
Light My Candle	https://www.allmusicals.com/lyrics/rent/lightmycandle.htm
Voice Mail 2	https://www.allmusicals.com/lyrics/rent/voicemail2.htm
Today 4 U	https://www.allmusicals.com/lyrics/rent/today4u.htm
You'll See	https://www.allmusicals.com/lyrics/rent/youllsee.htm
Tango: Maureen	https://www.allmusicals.com/lyrics/rent/tangomaureen.htm
Life Support	https://www.allmusicals.com/lyrics/rent/lifesupport.htm
Out Tonight	https://www.allmusicals.com/lyrics/rent/outtonight.htm
Another Day	https://www.allmusicals.com/lyrics/rent/anotherday.htm
Will I?	https://www.allmusicals.com/lyrics/rent/willi.htm
On The Street	https://www.allmusicals.com/lyrics/rent/onthestreet.htm
Santa Fe	https://www.allmusicals.com/lyrics/rent/santafe.htm
I'll Cover You	https://www.allmusicals.com/lyrics/rent/illcoveryou.htm
We're Okay	https://www.allmusicals.com/lyrics/rent/wereokay.htm
Christmas Bells	https://www.allmusicals.com/lyrics/rent/christmasbells.htm
Over The Moon	https://www.allmusicals.com/lyrics/rent/overthemoon.htm
La Vie Boheme	https://www.allmusicals.com/lyrics/rent/lavieboheme.htm
I Should Tell You	https://www.allmusicals.com/lyrics/rent/ishouldtellyou.htm
La Vie Boheme B	https://www.allmusicals.com/lyrics/rent/laviebohemeb.htm
Seasons Of Love	https://www.allmusicals.com/lyrics/rent/seasonsoflove.htm
Happy New Year	https://www.allmusicals.com/lyrics/rent/happynewyear.htm
Voice Mail 3	https://www.allmusicals.com/lyrics/rent/voicemail3.htm
Happy New Year B	https://www.allmusicals.com/lyrics/rent/happynewyearb.htm
Take Me Or Leave Me	https://www.allmusicals.com/lyrics/rent/takemeorleaveme.htm
Seasons Of Love B	https://www.allmusicals.com/lyrics/rent/seasonsofloveb.htm
Without You	https://www.allmusicals.com/lyrics/rent/withoutyou.htm
Voice Mail 4	https://www.allmusicals.com/lyrics/rent/voicemail4.htm
Contact	https://www.allmusicals.com/lyrics/rent/contact.htm
I'll Cover You (Reprise)	https://www.allmusicals.com/lyrics/rent/illcoveryoureprise.htm
Halloween	https://www.allmusicals.com/lyrics/rent/halloween.htm
Goodbye Love	https://www.allmusicals.com/lyrics/rent/goodbyelove.htm
What You Own	https://www.allmusicals.com/lyrics/rent/whatyouown.htm
Voice Mail 5	https://www.allmusicals.com/lyrics/rent/voicemail5.htm
Finale A	https://www.allmusicals.com/lyrics/rent/finalea.htm
Your Eyes	https://www.allmusicals.com/lyrics/rent/youreyes.htm
Finale B	https://www.allmusicals.com/lyrics/rent/finaleb.htm
