song-name	url
A New World Organ	https://www.allmusicals.com/lyrics/repothegeneticopera/anewworldorgan.htm
At the Opera Tonight	https://www.allmusicals.com/lyrics/repothegeneticopera/attheoperatonight.htm
Crucifixus	https://www.allmusicals.com/lyrics/repothegeneticopera/crucifixus.htm
Things You See in a Graveyard	https://www.allmusicals.com/lyrics/repothegeneticopera/thingsyouseeinagraveyard.htm
A Repo Man's Daughter	https://www.allmusicals.com/lyrics/repothegeneticopera/arepomansdaughter.htm
Infected	https://www.allmusicals.com/lyrics/repothegeneticopera/infected.htm
Legal Assassin	https://www.allmusicals.com/lyrics/repothegeneticopera/legalassassin.htm
Bravi!	https://www.allmusicals.com/lyrics/repothegeneticopera/bravi.htm
21st Century Cure	https://www.allmusicals.com/lyrics/repothegeneticopera/21stcenturycure.htm
Lungs And Livers	https://www.allmusicals.com/lyrics/repothegeneticopera/lungsandlivers.htm
Mark It Up	https://www.allmusicals.com/lyrics/repothegeneticopera/markitup.htm
Worthy Heirs?	https://www.allmusicals.com/lyrics/repothegeneticopera/worthyheirs.htm
New text	https://www.allmusicals.com/lyrics/repothegeneticopera/newtext.htm
Zydrate Anatomy	https://www.allmusicals.com/lyrics/repothegeneticopera/zydrateanatomy.htm
Thankless Job	https://www.allmusicals.com/lyrics/repothegeneticopera/thanklessjob.htm
Before the Escape	https://www.allmusicals.com/lyrics/repothegeneticopera/beforetheescape.htm
Night Surgeon	https://www.allmusicals.com/lyrics/repothegeneticopera/nightsurgeon.htm
Chase the Morning	https://www.allmusicals.com/lyrics/repothegeneticopera/chasethemorning.htm
Everyone's A Composer	https://www.allmusicals.com/lyrics/repothegeneticopera/everyonesacomposer.htm
Come Back!	https://www.allmusicals.com/lyrics/repothegeneticopera/comeback.htm
What Chance Has A 17 Year Old Girl	https://www.allmusicals.com/lyrics/repothegeneticopera/whatchancehasa17yearoldgirl.htm
Seventeen	https://www.allmusicals.com/lyrics/repothegeneticopera/seventeen.htm
Happiness Is Not A Warm Scalpel	https://www.allmusicals.com/lyrics/repothegeneticopera/happinessisnotawarmscalpel.htm
Gold	https://www.allmusicals.com/lyrics/repothegeneticopera/gold.htm
Depraved Heart Murder at Sanitarium Square	https://www.allmusicals.com/lyrics/repothegeneticopera/depravedheartmurderatsanitariumsquare.htm
Tonight We Are Betrayed	https://www.allmusicals.com/lyrics/repothegeneticopera/tonightwearebetrayed.htm
We Started This Op'ra Shit!	https://www.allmusicals.com/lyrics/repothegeneticopera/westartedthisoprashit.htm
Rotti's Chapel Sermon	https://www.allmusicals.com/lyrics/repothegeneticopera/rottischapelsermon.htm
Needle Through a Bug	https://www.allmusicals.com/lyrics/repothegeneticopera/needlethroughabug.htm
Chromaggia	https://www.allmusicals.com/lyrics/repothegeneticopera/chromaggia.htm
Mag's Fall	https://www.allmusicals.com/lyrics/repothegeneticopera/magsfall.htm
Piece De Resistance	https://www.allmusicals.com/lyrics/repothegeneticopera/piecederesistance.htm
Interrogation Room	https://www.allmusicals.com/lyrics/repothegeneticopera/interrogationroom.htm
Let the Monster Rise	https://www.allmusicals.com/lyrics/repothegeneticopera/letthemonsterrise.htm
A Ten Second Opera	https://www.allmusicals.com/lyrics/repothegeneticopera/atensecondopera.htm
I Didn't Know I'd Love You So Much	https://www.allmusicals.com/lyrics/repothegeneticopera/ididntknowidloveyousomuch.htm
Genetic Emancipation	https://www.allmusicals.com/lyrics/repothegeneticopera/geneticemancipation.htm
Genetic Repo Man	https://www.allmusicals.com/lyrics/repothegeneticopera/geneticrepoman.htm
Shilo Wakes	https://www.allmusicals.com/lyrics/repothegeneticopera/shilowakes.htm
Things You See in a Graveyard (Part 2)	https://www.allmusicals.com/lyrics/repothegeneticopera/thingsyouseeinagraveyardpart2.htm
Limo Ride	https://www.allmusicals.com/lyrics/repothegeneticopera/limoride.htm
Largo's Little Helpers	https://www.allmusicals.com/lyrics/repothegeneticopera/largoslittlehelpers.htm
Genterns	https://www.allmusicals.com/lyrics/repothegeneticopera/genterns.htm
Luigi, Pavi, Amber Harass Mag	https://www.allmusicals.com/lyrics/repothegeneticopera/luigipaviamberharassmag.htm
Seeing You Stirs Memories	https://www.allmusicals.com/lyrics/repothegeneticopera/seeingyoustirsmemories.htm
Inopportune Telephone Call	https://www.allmusicals.com/lyrics/repothegeneticopera/inopportunetelephonecall.htm
Zydrate Support Network	https://www.allmusicals.com/lyrics/repothegeneticopera/zydratesupportnetwork.htm
Who Ordered Pizza?	https://www.allmusicals.com/lyrics/repothegeneticopera/whoorderedpizza.htm
Nathan Discovers Rotti's Plan	https://www.allmusicals.com/lyrics/repothegeneticopera/nathandiscoversrottisplan.htm
Bloodbath	https://www.allmusicals.com/lyrics/repothegeneticopera/bloodbath.htm
Blame Not My Cheeks	https://www.allmusicals.com/lyrics/repothegeneticopera/blamenotmycheeks.htm
Sawman's Lament	https://www.allmusicals.com/lyrics/repothegeneticopera/sawmanslament.htm
The Man Who Made You Sick	https://www.allmusicals.com/lyrics/repothegeneticopera/themanwhomadeyousick.htm
Cut the Ties	https://www.allmusicals.com/lyrics/repothegeneticopera/cuttheties.htm
Shilo Turns Against Rotti	https://www.allmusicals.com/lyrics/repothegeneticopera/shiloturnsagainstrotti.htm
Epitaph	https://www.allmusicals.com/lyrics/repothegeneticopera/epitaph.htm
Aching Hour	https://www.allmusicals.com/lyrics/repothegeneticopera/achinghour.htm
