song-name	url
Overture	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/overture.htm
The Beautiful Land	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/thebeautifulland.htm
A Wonderful Day Like Today	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/awonderfuldayliketoday.htm
It Isn't Enough	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/itisntenough.htm
Things To Remember	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/thingstoremember.htm
Put It In The Book	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/putitinthebook.htm
With All Due Respect	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/withallduerespect.htm
This Dream	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/thisdream.htm
Where Would You Be Without Me?	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/wherewouldyoubewithoutme.htm
My First Love Song	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/myfirstlovesong.htm
Look at That Face	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/lookatthatface.htm
The Joker	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/thejoker.htm
Who Can I Turn To (When Nobody Needs Me)	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/whocaniturntowhennobodyneedsme.htm
That's What It Is To Be Young	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/thatswhatitistobeyoung.htm
What A Man!	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/whataman.htm
Feeling Good	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/feelinggood.htm
Nothing Can Stop Me Now!	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/nothingcanstopmenow.htm
Things to Remember (reprise)	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/thingstorememberreprise.htm
My Way	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/myway.htm
Who Can I Turn To (Reprise)	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/whocaniturntoreprise.htm
Sweet Beginning / The Beautiful Land (Reprise)	https://www.allmusicals.com/lyrics/roarofthegreasepaintthethesmellofthecrowd/sweetbeginningthebeautifullandreprise.htm
