song-name	url
Overture	https://www.allmusicals.com/lyrics/rockyhorrorshow/overture.htm
Science Fiction Double Feature	https://www.allmusicals.com/lyrics/rockyhorrorshow/sciencefictiondoublefeature.htm
Damn It, Janet	https://www.allmusicals.com/lyrics/rockyhorrorshow/damnitjanet.htm
Over At The Frankenstein Place	https://www.allmusicals.com/lyrics/rockyhorrorshow/overatthefrankensteinplace.htm
Time Warp	https://www.allmusicals.com/lyrics/rockyhorrorshow/timewarp.htm
Sweet Transvestite	https://www.allmusicals.com/lyrics/rockyhorrorshow/sweettransvestite.htm
The Sword Of Damocles	https://www.allmusicals.com/lyrics/rockyhorrorshow/theswordofdamocles.htm
I Can Make You A Man	https://www.allmusicals.com/lyrics/rockyhorrorshow/icanmakeyouaman.htm
Hot Patootie	https://www.allmusicals.com/lyrics/rockyhorrorshow/hotpatootie.htm
I Can Make You A Man (reprise)	https://www.allmusicals.com/lyrics/rockyhorrorshow/icanmakeyouamanreprise.htm
Touch-A-Touch-A-Touch Me	https://www.allmusicals.com/lyrics/rockyhorrorshow/touchatouchatouchme.htm
Once In A While	https://www.allmusicals.com/lyrics/rockyhorrorshow/onceinawhile.htm
Eddie's Teddy	https://www.allmusicals.com/lyrics/rockyhorrorshow/eddiesteddy.htm
Planet, Schmanet, Janet	https://www.allmusicals.com/lyrics/rockyhorrorshow/planetschmanetjanet.htm
Floor Show/Rose Tint My World	https://www.allmusicals.com/lyrics/rockyhorrorshow/floorshowrosetintmyworld.htm
I'm Going Home	https://www.allmusicals.com/lyrics/rockyhorrorshow/imgoinghome.htm
Spaceship	https://www.allmusicals.com/lyrics/rockyhorrorshow/spaceship.htm
Super Heroes	https://www.allmusicals.com/lyrics/rockyhorrorshow/superheroes.htm
Science Fiction Double Feature (reprise)	https://www.allmusicals.com/lyrics/rockyhorrorshow/sciencefictiondoublefeaturereprise.htm
