song-name	url
Overture	https://www.allmusicals.com/lyrics/scarletpimpernelthe/overture.htm
Madame Guillotine	https://www.allmusicals.com/lyrics/scarletpimpernelthe/madameguillotine.htm
Believe	https://www.allmusicals.com/lyrics/scarletpimpernelthe/believe.htm
Vivez	https://www.allmusicals.com/lyrics/scarletpimpernelthe/vivez.htm
Prayer	https://www.allmusicals.com/lyrics/scarletpimpernelthe/prayer.htm
Into The Fire	https://www.allmusicals.com/lyrics/scarletpimpernelthe/intothefire.htm
Falcon In The Dive	https://www.allmusicals.com/lyrics/scarletpimpernelthe/falconinthedive.htm
When I Look At You	https://www.allmusicals.com/lyrics/scarletpimpernelthe/whenilookatyou.htm
The Scarlet Pimpernel	https://www.allmusicals.com/lyrics/scarletpimpernelthe/thescarletpimpernel.htm
Where's The Girl	https://www.allmusicals.com/lyrics/scarletpimpernelthe/wheresthegirl.htm
When I Look At You (reprise)	https://www.allmusicals.com/lyrics/scarletpimpernelthe/whenilookatyoureprise.htm
The Creation Of Man	https://www.allmusicals.com/lyrics/scarletpimpernelthe/thecreationofman.htm
Marguerite's Dilemma	https://www.allmusicals.com/lyrics/scarletpimpernelthe/margueritesdilemma.htm
The Riddle	https://www.allmusicals.com/lyrics/scarletpimpernelthe/theriddle.htm
Entr'acte	https://www.allmusicals.com/lyrics/scarletpimpernelthe/entracte.htm
They Seek Him Here	https://www.allmusicals.com/lyrics/scarletpimpernelthe/theyseekhimhere.htm
Only Love	https://www.allmusicals.com/lyrics/scarletpimpernelthe/onlylove.htm
She Was There	https://www.allmusicals.com/lyrics/scarletpimpernelthe/shewasthere.htm
Storybook	https://www.allmusicals.com/lyrics/scarletpimpernelthe/storybook.htm
Where's The Girl (reprise)	https://www.allmusicals.com/lyrics/scarletpimpernelthe/wheresthegirlreprise.htm
Lullaby	https://www.allmusicals.com/lyrics/scarletpimpernelthe/lullaby.htm
You Are My Home	https://www.allmusicals.com/lyrics/scarletpimpernelthe/youaremyhome.htm
The Duel	https://www.allmusicals.com/lyrics/scarletpimpernelthe/theduel.htm
Believe (reprise)	https://www.allmusicals.com/lyrics/scarletpimpernelthe/believereprise.htm
Into The Fire (reprise)	https://www.allmusicals.com/lyrics/scarletpimpernelthe/intothefirereprise.htm
