song-name	url
Overture	https://www.allmusicals.com/lyrics/scrooge/overture.htm
Sing a Christmas Carol	https://www.allmusicals.com/lyrics/scrooge/singachristmascarol.htm
Christmas Children	https://www.allmusicals.com/lyrics/scrooge/christmaschildren.htm
Father Christmas	https://www.allmusicals.com/lyrics/scrooge/fatherchristmas.htm
I Hate People	https://www.allmusicals.com/lyrics/scrooge/ihatepeople.htm
Make the Most of this World	https://www.allmusicals.com/lyrics/scrooge/makethemostofthisworld.htm
December the Twenty-Fifth	https://www.allmusicals.com/lyrics/scrooge/decemberthetwentyfifth.htm
Happiness	https://www.allmusicals.com/lyrics/scrooge/happiness.htm
You...You	https://www.allmusicals.com/lyrics/scrooge/youyou.htm
I Like Life	https://www.allmusicals.com/lyrics/scrooge/ilikelife.htm
The Beautiful Day	https://www.allmusicals.com/lyrics/scrooge/thebeautifulday.htm
The Minister's Cat	https://www.allmusicals.com/lyrics/scrooge/theministerscat.htm
Happiness (Reprise)	https://www.allmusicals.com/lyrics/scrooge/happinessreprise.htm
A Better Life	https://www.allmusicals.com/lyrics/scrooge/abetterlife.htm
Thank You Very Much	https://www.allmusicals.com/lyrics/scrooge/thankyouverymuch.htm
I'll Begin Again	https://www.allmusicals.com/lyrics/scrooge/illbeginagain.htm
