song-name	url
Kesa	https://www.allmusicals.com/lyrics/seewhatiwannasee/kesa.htm
The Janitor's Statement	https://www.allmusicals.com/lyrics/seewhatiwannasee/thejanitorsstatement.htm
The Thief's Statement / She Looked At Me	https://www.allmusicals.com/lyrics/seewhatiwannasee/thethiefsstatementshelookedatme.htm
See What I Wanna See	https://www.allmusicals.com/lyrics/seewhatiwannasee/seewhatiwannasee.htm
Big Money	https://www.allmusicals.com/lyrics/seewhatiwannasee/bigmoney.htm
The Park	https://www.allmusicals.com/lyrics/seewhatiwannasee/thepark.htm
You'll Go Away With Me	https://www.allmusicals.com/lyrics/seewhatiwannasee/youllgoawaywithme.htm
Murder	https://www.allmusicals.com/lyrics/seewhatiwannasee/murder.htm
Best Not To Get Involved	https://www.allmusicals.com/lyrics/seewhatiwannasee/bestnottogetinvolved.htm
The Wife's Statement	https://www.allmusicals.com/lyrics/seewhatiwannasee/thewifesstatement.htm
Louie	https://www.allmusicals.com/lyrics/seewhatiwannasee/louie.htm
The Medium and the Husband's Statement	https://www.allmusicals.com/lyrics/seewhatiwannasee/themediumandthehusbandsstatement.htm
Quartet / You'll Go Away With Me (Reprise)	https://www.allmusicals.com/lyrics/seewhatiwannasee/quartetyoullgoawaywithmereprise.htm
No More	https://www.allmusicals.com/lyrics/seewhatiwannasee/nomore.htm
Simple As This	https://www.allmusicals.com/lyrics/seewhatiwannasee/simpleasthis.htm
Light in the East / Finale Act I	https://www.allmusicals.com/lyrics/seewhatiwannasee/lightintheeastfinaleacti.htm
Morito	https://www.allmusicals.com/lyrics/seewhatiwannasee/morito.htm
Confession/Last Year	https://www.allmusicals.com/lyrics/seewhatiwannasee/confessionlastyear.htm
The Greatest Practical Joke	https://www.allmusicals.com/lyrics/seewhatiwannasee/thegreatestpracticaljoke.htm
The First Message	https://www.allmusicals.com/lyrics/seewhatiwannasee/thefirstmessage.htm
Central Park	https://www.allmusicals.com/lyrics/seewhatiwannasee/centralpark.htm
The Second Message	https://www.allmusicals.com/lyrics/seewhatiwannasee/thesecondmessage.htm
Coffee	https://www.allmusicals.com/lyrics/seewhatiwannasee/coffee.htm
Gloryday	https://www.allmusicals.com/lyrics/seewhatiwannasee/gloryday.htm
Curiosity/Prayer	https://www.allmusicals.com/lyrics/seewhatiwannasee/curiosityprayer.htm
Feed the Lions	https://www.allmusicals.com/lyrics/seewhatiwannasee/feedthelions.htm
There Will Be a Miracle	https://www.allmusicals.com/lyrics/seewhatiwannasee/therewillbeamiracle.htm
Prayer (reprise)	https://www.allmusicals.com/lyrics/seewhatiwannasee/prayerreprise.htm
Rising Up/Finale Act 2	https://www.allmusicals.com/lyrics/seewhatiwannasee/risingupfinaleact2.htm
