song-name	url
Overture	https://www.allmusicals.com/lyrics/seussical/overture.htm
Oh, The Thinks You Can Think	https://www.allmusicals.com/lyrics/seussical/ohthethinksyoucanthink.htm
Horton Hears A Who	https://www.allmusicals.com/lyrics/seussical/hortonhearsawho.htm
Biggest Blame Fool	https://www.allmusicals.com/lyrics/seussical/biggestblamefool.htm
Here On Who	https://www.allmusicals.com/lyrics/seussical/hereonwho.htm
Day For The Cat In The Hat, A	https://www.allmusicals.com/lyrics/seussical/dayforthecatinthehata.htm
It's Possible (In McElligot's Pool)	https://www.allmusicals.com/lyrics/seussical/itspossibleinmcelligotspool.htm
How To Raise A Child	https://www.allmusicals.com/lyrics/seussical/howtoraiseachild.htm
Military, The	https://www.allmusicals.com/lyrics/seussical/militarythe.htm
Alone In The Universe	https://www.allmusicals.com/lyrics/seussical/aloneintheuniverse.htm
One Feather Tail Of Miss Gertrude McFuzz, The	https://www.allmusicals.com/lyrics/seussical/onefeathertailofmissgertrudemcfuzzthe.htm
Amazing Mayzie	https://www.allmusicals.com/lyrics/seussical/amazingmayzie.htm
Amayzing Gertrude	https://www.allmusicals.com/lyrics/seussical/amayzinggertrude.htm
Monkey Around	https://www.allmusicals.com/lyrics/seussical/monkeyaround.htm
Chasing The Whos	https://www.allmusicals.com/lyrics/seussical/chasingthewhos.htm
How Lucky You Are	https://www.allmusicals.com/lyrics/seussical/howluckyyouare.htm
Notice Me, Horton	https://www.allmusicals.com/lyrics/seussical/noticemehorton.htm
How Lucky You Are (Mayzie's Reprise)	https://www.allmusicals.com/lyrics/seussical/howluckyyouaremayziesreprise.htm
Act 1 - Finale: Horton Sits On The Egg	https://www.allmusicals.com/lyrics/seussical/act1finalehortonsitsontheegg.htm
Egg, Nest and Tree	https://www.allmusicals.com/lyrics/seussical/eggnestandtree.htm
Mayzie In Palm Beach	https://www.allmusicals.com/lyrics/seussical/mayzieinpalmbeach.htm
Alone In The Universe (Reprise)	https://www.allmusicals.com/lyrics/seussical/aloneintheuniversereprise.htm
Solla Solew	https://www.allmusicals.com/lyrics/seussical/sollasolew.htm
Havin' A Hunch	https://www.allmusicals.com/lyrics/seussical/havinahunch.htm
All For You	https://www.allmusicals.com/lyrics/seussical/allforyou.htm
The People Versus Horton The Elephant	https://www.allmusicals.com/lyrics/seussical/thepeopleversushortontheelephant.htm
Finale/Oh, The Thinks You Can Think (Reprise)	https://www.allmusicals.com/lyrics/seussical/finaleohthethinksyoucanthinkreprise.htm
Green Eggs And Ham (Curtain Call)	https://www.allmusicals.com/lyrics/seussical/greeneggsandhamcurtaincall.htm
