song-name	url
Bless Your Beautiful Hide	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/blessyourbeautifulhide.htm
Wonderful, Wonderful Day	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/wonderfulwonderfulday.htm
One Man	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/oneman.htm
Goin' Courtin'	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/goincourtin.htm
Social Dance	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/socialdance.htm
Love Never Goes Away	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/lovenevergoesaway.htm
Sobbin' Women	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/sobbinwomen.htm
Townsfolk's Lament	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/townsfolkslament.htm
Woman Ought to Know Her Place	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/womanoughttoknowherplace.htm
We Gotta Make It Through the Winter	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/wegottamakeitthroughthewinter.htm
We Gotta Make It Through the Winter (Reprise)	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/wegottamakeitthroughthewinterreprise.htm
Spring, Spring, Spring (Spring Dance)	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/springspringspringspringdance.htm
Woman Ought to Know Her Place (Reprise)	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/womanoughttoknowherplacereprise.htm
Glad That You Were Born	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/gladthatyouwereborn.htm
Love Never Goes Away (Reprise)	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/lovenevergoesawayreprise.htm
Wedding Dance	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/weddingdance.htm
Finale: Wonderful Day (Reprise)	https://www.allmusicals.com/lyrics/sevenbridesforsevenbrothers/finalewonderfuldayreprise.htm
