song-name	url
Good Morning, Good Day	https://www.allmusicals.com/lyrics/shelovesme/goodmorninggoodday.htm
Sounds While Selling	https://www.allmusicals.com/lyrics/shelovesme/soundswhileselling.htm
Thank You, Madam	https://www.allmusicals.com/lyrics/shelovesme/thankyoumadam.htm
Days Gone By	https://www.allmusicals.com/lyrics/shelovesme/daysgoneby.htm
No More Candy	https://www.allmusicals.com/lyrics/shelovesme/nomorecandy.htm
Three Letters	https://www.allmusicals.com/lyrics/shelovesme/threeletters.htm
Tonight At Eight	https://www.allmusicals.com/lyrics/shelovesme/tonightateight.htm
I Don't Know His Name	https://www.allmusicals.com/lyrics/shelovesme/idontknowhisname.htm
Perspective	https://www.allmusicals.com/lyrics/shelovesme/perspective.htm
Goodbye, Georg	https://www.allmusicals.com/lyrics/shelovesme/goodbyegeorg.htm
Will He Like Me?	https://www.allmusicals.com/lyrics/shelovesme/willhelikeme.htm
Ilona	https://www.allmusicals.com/lyrics/shelovesme/ilona.htm
I Resolve	https://www.allmusicals.com/lyrics/shelovesme/iresolve.htm
Romantic Atomsphere	https://www.allmusicals.com/lyrics/shelovesme/romanticatomsphere.htm
Tango Tragique	https://www.allmusicals.com/lyrics/shelovesme/tangotragique.htm
Dear Freind	https://www.allmusicals.com/lyrics/shelovesme/dearfreind.htm
Overture to Act II	https://www.allmusicals.com/lyrics/shelovesme/overturetoactii.htm
Try Me	https://www.allmusicals.com/lyrics/shelovesme/tryme.htm
Where's My Shoe	https://www.allmusicals.com/lyrics/shelovesme/wheresmyshoe.htm
Vanilla Ice Cream	https://www.allmusicals.com/lyrics/shelovesme/vanillaicecream.htm
She Loves Me	https://www.allmusicals.com/lyrics/shelovesme/shelovesme.htm
A Trip To The Library	https://www.allmusicals.com/lyrics/shelovesme/atriptothelibrary.htm
Grand Knowing You	https://www.allmusicals.com/lyrics/shelovesme/grandknowingyou.htm
Twelve Days To Christmas	https://www.allmusicals.com/lyrics/shelovesme/twelvedaystochristmas.htm
