song-name	url
Overture	https://www.allmusicals.com/lyrics/showboat/overture.htm
Cotton Blossom	https://www.allmusicals.com/lyrics/showboat/cottonblossom.htm
Cap'n Andy's Ballyhoo	https://www.allmusicals.com/lyrics/showboat/capnandysballyhoo.htm
Where's the Mate for Me?	https://www.allmusicals.com/lyrics/showboat/wheresthemateforme.htm
Make Believe	https://www.allmusicals.com/lyrics/showboat/makebelieve.htm
Ol' Man River	https://www.allmusicals.com/lyrics/showboat/olmanriver.htm
Can't Help Lovin' Dat Man	https://www.allmusicals.com/lyrics/showboat/canthelplovindatman.htm
Life Upon the Wicked Stage	https://www.allmusicals.com/lyrics/showboat/lifeuponthewickedstage.htm
Till Good Luck Comes My Way	https://www.allmusicals.com/lyrics/showboat/tillgoodluckcomesmyway.htm
I Might Fall Back on You	https://www.allmusicals.com/lyrics/showboat/imightfallbackonyou.htm
Queenie's Ballyhoo	https://www.allmusicals.com/lyrics/showboat/queeniesballyhoo.htm
You Are Love	https://www.allmusicals.com/lyrics/showboat/youarelove.htm
Why Do I Love You?	https://www.allmusicals.com/lyrics/showboat/whydoiloveyou.htm
In Dahomey	https://www.allmusicals.com/lyrics/showboat/indahomey.htm
Bill	https://www.allmusicals.com/lyrics/showboat/bill.htm
Can't Help Lovin' Dat Man (reprise)	https://www.allmusicals.com/lyrics/showboat/canthelplovindatmanreprise.htm
Goodbye, My Lady Love	https://www.allmusicals.com/lyrics/showboat/goodbyemyladylove.htm
After the Ball	https://www.allmusicals.com/lyrics/showboat/aftertheball.htm
Nobody Else but Me	https://www.allmusicals.com/lyrics/showboat/nobodyelsebutme.htm
I Still Suits Me	https://www.allmusicals.com/lyrics/showboat/istillsuitsme.htm
