song-name	url
Overture / Big Bright Beautiful World	https://www.allmusicals.com/lyrics/shrek/overturebigbrightbeautifulworld.htm
Story of My Life	https://www.allmusicals.com/lyrics/shrek/storyofmylife.htm
The Goodbye Song	https://www.allmusicals.com/lyrics/shrek/thegoodbyesong.htm
Don't Let Me Go	https://www.allmusicals.com/lyrics/shrek/dontletmego.htm
I Know It's Today	https://www.allmusicals.com/lyrics/shrek/iknowitstoday.htm
What's Up, Duloc?	https://www.allmusicals.com/lyrics/shrek/whatsupduloc.htm
Travel Song	https://www.allmusicals.com/lyrics/shrek/travelsong.htm
Donkey Pot Pie	https://www.allmusicals.com/lyrics/shrek/donkeypotpie.htm
This Is How Dreams Come True	https://www.allmusicals.com/lyrics/shrek/thisishowdreamscometrue.htm
Who I'd Be	https://www.allmusicals.com/lyrics/shrek/whoidbe.htm
Morning Person	https://www.allmusicals.com/lyrics/shrek/morningperson.htm
I Think I Got You Beat	https://www.allmusicals.com/lyrics/shrek/ithinkigotyoubeat.htm
The Ballad of Farquaad	https://www.allmusicals.com/lyrics/shrek/theballadoffarquaad.htm
Make a Move	https://www.allmusicals.com/lyrics/shrek/makeamove.htm
When Words Fail	https://www.allmusicals.com/lyrics/shrek/whenwordsfail.htm
Morning Person (Reprise)	https://www.allmusicals.com/lyrics/shrek/morningpersonreprise.htm
Build A Wall	https://www.allmusicals.com/lyrics/shrek/buildawall.htm
Freak Flag	https://www.allmusicals.com/lyrics/shrek/freakflag.htm
Big Bright Beautiful World (Reprise)	https://www.allmusicals.com/lyrics/shrek/bigbrightbeautifulworldreprise.htm
More to the Story	https://www.allmusicals.com/lyrics/shrek/moretothestory.htm
This is Our Story (Finale)	https://www.allmusicals.com/lyrics/shrek/thisisourstoryfinale.htm
I'm a Believer	https://www.allmusicals.com/lyrics/shrek/imabeliever.htm
