song-name	url
Fit as a Fiddle	https://www.allmusicals.com/lyrics/singinintherain/fitasafiddle.htm
Beautiful Girl	https://www.allmusicals.com/lyrics/singinintherain/beautifulgirl.htm
I've Got a Feelin' You're Foolin'	https://www.allmusicals.com/lyrics/singinintherain/ivegotafeelinyourefoolin.htm
Make 'Em Laugh	https://www.allmusicals.com/lyrics/singinintherain/makeemlaugh.htm
You Are My Lucky Star	https://www.allmusicals.com/lyrics/singinintherain/youaremyluckystar.htm
Moses Supposes	https://www.allmusicals.com/lyrics/singinintherain/mosessupposes.htm
Good Morning	https://www.allmusicals.com/lyrics/singinintherain/goodmorning.htm
Singin' in the Rain	https://www.allmusicals.com/lyrics/singinintherain/singinintherain.htm
Wedding of the Painted Doll	https://www.allmusicals.com/lyrics/singinintherain/weddingofthepainteddoll.htm
Would You?	https://www.allmusicals.com/lyrics/singinintherain/wouldyou.htm
Broadway Rhythm	https://www.allmusicals.com/lyrics/singinintherain/broadwayrhythm.htm
All I Do Is Dream of You	https://www.allmusicals.com/lyrics/singinintherain/allidoisdreamofyou.htm
You Were Meant for Me	https://www.allmusicals.com/lyrics/singinintherain/youweremeantforme.htm
What's Wrong with Me?	https://www.allmusicals.com/lyrics/singinintherain/whatswrongwithme.htm
Singin' in the Rain Finale	https://www.allmusicals.com/lyrics/singinintherain/singinintherainfinale.htm
You Stepped Out of a Dream	https://www.allmusicals.com/lyrics/singinintherain/yousteppedoutofadream.htm
