song-name	url
Let Me Be Your Star	https://www.allmusicals.com/lyrics/smash/letmebeyourstar.htm
At Your Feet	https://www.allmusicals.com/lyrics/smash/atyourfeet.htm
Smash!	https://www.allmusicals.com/lyrics/smash/smash.htm
Never Give All the Heart	https://www.allmusicals.com/lyrics/smash/nevergivealltheheart.htm
The 20th Century Fox Mambo	https://www.allmusicals.com/lyrics/smash/the20thcenturyfoxmambo.htm
The National Pastime	https://www.allmusicals.com/lyrics/smash/thenationalpastime.htm
History Is Made At Night	https://www.allmusicals.com/lyrics/smash/historyismadeatnight.htm
I Never Met A Wolf Who Didn't Love To Howl	https://www.allmusicals.com/lyrics/smash/inevermetawolfwhodidntlovetohowl.htm
Mr & Mrs Smith	https://www.allmusicals.com/lyrics/smash/mrmrssmith.htm
Don't Say Yes Until I Finish Talking	https://www.allmusicals.com/lyrics/smash/dontsayyesuntilifinishtalking.htm
On Lexington & 52nd Street	https://www.allmusicals.com/lyrics/smash/onlexington52ndstreet.htm
Cut, Print...Moving On	https://www.allmusicals.com/lyrics/smash/cutprintmovingon.htm
Public Relations	https://www.allmusicals.com/lyrics/smash/publicrelations.htm
Dig Deep	https://www.allmusicals.com/lyrics/smash/digdeep.htm
Second Hand White Baby Grand	https://www.allmusicals.com/lyrics/smash/secondhandwhitebabygrand.htm
They Just Keep Moving the Line	https://www.allmusicals.com/lyrics/smash/theyjustkeepmovingtheline.htm
Let's Be Bad	https://www.allmusicals.com/lyrics/smash/letsbebad.htm
The Right Regrets	https://www.allmusicals.com/lyrics/smash/therightregrets.htm
(Let's Start) Tomorrow Tonight	https://www.allmusicals.com/lyrics/smash/letsstarttomorrowtonight.htm
Our Little Secret	https://www.allmusicals.com/lyrics/smash/ourlittlesecret.htm
Hang the Moon	https://www.allmusicals.com/lyrics/smash/hangthemoon.htm
Don't Forget Me	https://www.allmusicals.com/lyrics/smash/dontforgetme.htm
Grenade	https://www.allmusicals.com/lyrics/smash/grenade.htm
Redneck Woman	https://www.allmusicals.com/lyrics/smash/redneckwoman.htm
Call Me	https://www.allmusicals.com/lyrics/smash/callme.htm
Let Me Be Your Star (Reprise)	https://www.allmusicals.com/lyrics/smash/letmebeyourstarreprise.htm
Crazy Dreams	https://www.allmusicals.com/lyrics/smash/crazydreams.htm
Cheers / Drink To That	https://www.allmusicals.com/lyrics/smash/cheersdrinktothat.htm
It's A Man's Man's Man's World	https://www.allmusicals.com/lyrics/smash/itsamansmansmansworld.htm
Somewhere Over The Rainbow	https://www.allmusicals.com/lyrics/smash/somewhereovertherainbow.htm
Haven't Met You Yet	https://www.allmusicals.com/lyrics/smash/haventmetyouyet.htm
Rumour Has It	https://www.allmusicals.com/lyrics/smash/rumourhasit.htm
Touch Me	https://www.allmusicals.com/lyrics/smash/touchme.htm
