song-name	url
The World According to Snoopy	https://www.allmusicals.com/lyrics/snoopy/theworldaccordingtosnoopy.htm
Snoopy's Song	https://www.allmusicals.com/lyrics/snoopy/snoopyssong.htm
Woodstock's Theme	https://www.allmusicals.com/lyrics/snoopy/woodstockstheme.htm
Hurry up Face	https://www.allmusicals.com/lyrics/snoopy/hurryupface.htm
Edgar Allen Poe	https://www.allmusicals.com/lyrics/snoopy/edgarallenpoe.htm
Mother's Day	https://www.allmusicals.com/lyrics/snoopy/mothersday.htm
I Know Now	https://www.allmusicals.com/lyrics/snoopy/iknownow.htm
The Vigil	https://www.allmusicals.com/lyrics/snoopy/thevigil.htm
Clouds	https://www.allmusicals.com/lyrics/snoopy/clouds.htm
Where Did That Little Dog Go?	https://www.allmusicals.com/lyrics/snoopy/wheredidthatlittledoggo.htm
Dime a Dozen	https://www.allmusicals.com/lyrics/snoopy/dimeadozen.htm
Daisy Hill	https://www.allmusicals.com/lyrics/snoopy/daisyhill.htm
When Do the Good Things Start?	https://www.allmusicals.com/lyrics/snoopy/whendothegoodthingsstart.htm
Great Writer	https://www.allmusicals.com/lyrics/snoopy/greatwriter.htm
Poor Sweet Baby	https://www.allmusicals.com/lyrics/snoopy/poorsweetbaby.htm
Don't Be Anything Less Than Everything You Can Be	https://www.allmusicals.com/lyrics/snoopy/dontbeanythinglessthaneverythingyoucanbe.htm
Big Bow-Wow	https://www.allmusicals.com/lyrics/snoopy/bigbowwow.htm
Just One Person	https://www.allmusicals.com/lyrics/snoopy/justoneperson.htm
