song-name	url
Overture	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/overture.htm
Magic Mirror	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/magicmirror.htm
I'm Wishing/One Song	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/imwishingonesong.htm
Queen Theme	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/queentheme.htm
Far Into the Forest	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/farintotheforest.htm
Animal Friends/With a Smile and a Song	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/animalfriendswithasmileandasong.htm
Just Like a Doll's House	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/justlikeadollshouse.htm
Whistle While You Work	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/whistlewhileyouwork.htm
Heigh Ho	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/heighho.htm
Let's See What's Upstairs	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/letsseewhatsupstairs.htm
There's Trouble A-Brewin'	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/therestroubleabrewin.htm
It's a Girl	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/itsagirl.htm
Hooray! She Stays	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/hoorayshestays.htm
Bluddle-Uddle-Um-Dum (The Washing Song)	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/bluddleuddleumdumthewashingsong.htm
I've Been Tricked	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/ivebeentricked.htm
The Silly Song (The Dwarfs' Yodel Song)	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/thesillysongthedwarfsyodelsong.htm
Someday My Prince Will Come	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/somedaymyprincewillcome.htm
Pleasant Dreams	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/pleasantdreams.htm
A Special Sort of Death	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/aspecialsortofdeath.htm
Why Grumpy, You Do Care	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/whygrumpyyoudocare.htm
Makin' Pies	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/makinpies.htm
Have A Bite	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/haveabite.htm
Chorale For Snow White	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/choraleforsnowwhite.htm
Love's First Kiss (Finale)	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/lovesfirstkissfinale.htm
Music in Your Soup	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/musicinyoursoup.htm
You're Never Too Old To Be Young	https://www.allmusicals.com/lyrics/snowwhiteandthesevendwarfs/yourenevertoooldtobeyoung.htm
