song-name	url
My Name Is Stephen Joshua Sondheim	https://www.allmusicals.com/lyrics/sondheimonsondheim/mynameisstephenjoshuasondheim.htm
Invocation/Forget War	https://www.allmusicals.com/lyrics/sondheimonsondheim/invocationforgetwar.htm
Love Is in the Air	https://www.allmusicals.com/lyrics/sondheimonsondheim/loveisintheair.htm
Comedy Tonight	https://www.allmusicals.com/lyrics/sondheimonsondheim/comedytonight.htm
Take Me to the World	https://www.allmusicals.com/lyrics/sondheimonsondheim/takemetotheworld.htm
Ten Years After I Was Born...	https://www.allmusicals.com/lyrics/sondheimonsondheim/tenyearsafteriwasborn.htm
Talent/When I Get Famous	https://www.allmusicals.com/lyrics/sondheimonsondheim/talentwhenigetfamous.htm
Something’s Coming	https://www.allmusicals.com/lyrics/sondheimonsondheim/somethingscoming.htm
My First Professional Show...	https://www.allmusicals.com/lyrics/sondheimonsondheim/myfirstprofessionalshow.htm
So Many People	https://www.allmusicals.com/lyrics/sondheimonsondheim/somanypeople.htm
For Many Years, Hal Prince...	https://www.allmusicals.com/lyrics/sondheimonsondheim/formanyyearshalprince.htm
You Could Drive a Person Crazy	https://www.allmusicals.com/lyrics/sondheimonsondheim/youcoulddriveapersoncrazy.htm
The Wedding Is Off	https://www.allmusicals.com/lyrics/sondheimonsondheim/theweddingisoff.htm
Now You Know	https://www.allmusicals.com/lyrics/sondheimonsondheim/nowyouknow.htm
Hal Prince and I Did Six Shows Together...	https://www.allmusicals.com/lyrics/sondheimonsondheim/halprinceandididsixshowstogether.htm
Franklin Shepard, Inc.	https://www.allmusicals.com/lyrics/sondheimonsondheim/franklinshepardinc.htm
Good Thing Going	https://www.allmusicals.com/lyrics/sondheimonsondheim/goodthinggoing.htm
Sometimes a Song Changes Its Shape...	https://www.allmusicals.com/lyrics/sondheimonsondheim/sometimesasongchangesitsshape.htm
Waiting for the Girls Upstairs	https://www.allmusicals.com/lyrics/sondheimonsondheim/waitingforthegirlsupstairs.htm
The Best Thing That Ever Has Happened	https://www.allmusicals.com/lyrics/sondheimonsondheim/thebestthingthateverhashappened.htm
My First Serious Relationship...	https://www.allmusicals.com/lyrics/sondheimonsondheim/myfirstseriousrelationship.htm
Happiness	https://www.allmusicals.com/lyrics/sondheimonsondheim/happiness.htm
Fosca’s Entrance (I Read)	https://www.allmusicals.com/lyrics/sondheimonsondheim/foscasentranceiread.htm
Is This What You Call Love?	https://www.allmusicals.com/lyrics/sondheimonsondheim/isthiswhatyoucalllove.htm
Loving You	https://www.allmusicals.com/lyrics/sondheimonsondheim/lovingyou.htm
God	https://www.allmusicals.com/lyrics/sondheimonsondheim/god.htm
If You Ask Me to Write a Love Song...	https://www.allmusicals.com/lyrics/sondheimonsondheim/ifyouaskmetowritealovesong.htm
Losing My Mind / Not a Day Goes By	https://www.allmusicals.com/lyrics/sondheimonsondheim/losingmymindnotadaygoesby.htm
A Lot of People Think...	https://www.allmusicals.com/lyrics/sondheimonsondheim/alotofpeoplethink.htm
Opening Doors	https://www.allmusicals.com/lyrics/sondheimonsondheim/openingdoors.htm
We Had Three Endings to Company...	https://www.allmusicals.com/lyrics/sondheimonsondheim/wehadthreeendingstocompany.htm
Multitudes of Amys	https://www.allmusicals.com/lyrics/sondheimonsondheim/multitudesofamys.htm
Happily Ever After	https://www.allmusicals.com/lyrics/sondheimonsondheim/happilyeverafter.htm
Being Alive	https://www.allmusicals.com/lyrics/sondheimonsondheim/beingalive.htm
Something Just Broke	https://www.allmusicals.com/lyrics/sondheimonsondheim/somethingjustbroke.htm
The Gun Song	https://www.allmusicals.com/lyrics/sondheimonsondheim/thegunsong.htm
Jule Styne and I Realized with Gypsy...	https://www.allmusicals.com/lyrics/sondheimonsondheim/julestyneandirealizedwithgypsy.htm
Smile, Girls	https://www.allmusicals.com/lyrics/sondheimonsondheim/smilegirls.htm
I Suppose If There Is One That’s Closest...	https://www.allmusicals.com/lyrics/sondheimonsondheim/isupposeifthereisonethatsclosest.htm
Finishing the Hat	https://www.allmusicals.com/lyrics/sondheimonsondheim/finishingthehat.htm
Beautiful	https://www.allmusicals.com/lyrics/sondheimonsondheim/beautiful.htm
I Had a Lot of Trouble with My Mother...	https://www.allmusicals.com/lyrics/sondheimonsondheim/ihadalotoftroublewithmymother.htm
Children Will Listen	https://www.allmusicals.com/lyrics/sondheimonsondheim/childrenwilllisten.htm
To Me, Teaching Is a Sacred Profession...	https://www.allmusicals.com/lyrics/sondheimonsondheim/tometeachingisasacredprofession.htm
Send in the Clowns	https://www.allmusicals.com/lyrics/sondheimonsondheim/sendintheclowns.htm
I’ve Often Been Asked Why I Don’t Write...	https://www.allmusicals.com/lyrics/sondheimonsondheim/iveoftenbeenaskedwhyidontwrite.htm
Company/Old Friends	https://www.allmusicals.com/lyrics/sondheimonsondheim/companyoldfriends.htm
Anyone Can Whistle	https://www.allmusicals.com/lyrics/sondheimonsondheim/anyonecanwhistle.htm
