song-name	url
Take That Look Off Your Face	https://www.allmusicals.com/lyrics/songdance/takethatlookoffyourface.htm
Let Me Finish	https://www.allmusicals.com/lyrics/songdance/letmefinish.htm
So Much To Do In New York	https://www.allmusicals.com/lyrics/songdance/somuchtodoinnewyork.htm
First Letter Home	https://www.allmusicals.com/lyrics/songdance/firstletterhome.htm
English Girls	https://www.allmusicals.com/lyrics/songdance/englishgirls.htm
Capped Teeth And Caesar Salad	https://www.allmusicals.com/lyrics/songdance/cappedteethandcaesarsalad.htm
You Made Me Think You Were In Love	https://www.allmusicals.com/lyrics/songdance/youmademethinkyouwereinlove.htm
Capped Teeth And Caesar Salad (Reprise)	https://www.allmusicals.com/lyrics/songdance/cappedteethandcaesarsaladreprise.htm
So Much To Do In New York (II)	https://www.allmusicals.com/lyrics/songdance/somuchtodoinnewyorkii.htm
Second Letter Home	https://www.allmusicals.com/lyrics/songdance/secondletterhome.htm
Unexpected Song	https://www.allmusicals.com/lyrics/songdance/unexpectedsong.htm
Come Back With The Same Look In Your Eyes	https://www.allmusicals.com/lyrics/songdance/comebackwiththesamelookinyoureyes.htm
Take That Look Off Your Face (Reprise)	https://www.allmusicals.com/lyrics/songdance/takethatlookoffyourfacereprise.htm
Tell Me On A Sunday	https://www.allmusicals.com/lyrics/songdance/tellmeonasunday.htm
I Love New York: So Much To Do In New York	https://www.allmusicals.com/lyrics/songdance/ilovenewyorksomuchtodoinnewyork.htm
Married Man	https://www.allmusicals.com/lyrics/songdance/marriedman.htm
Third Letter Home	https://www.allmusicals.com/lyrics/songdance/thirdletterhome.htm
Nothing Like You've Ever Known	https://www.allmusicals.com/lyrics/songdance/nothinglikeyouveeverknown.htm
Finale	https://www.allmusicals.com/lyrics/songdance/finale.htm
