song-name	url
Opening: The New World	https://www.allmusicals.com/lyrics/songsforanewworld/openingthenewworld.htm
On The Deck Of A Spanish Sailing Ship, 1492	https://www.allmusicals.com/lyrics/songsforanewworld/onthedeckofaspanishsailingship1492.htm
Just One Step	https://www.allmusicals.com/lyrics/songsforanewworld/justonestep.htm
I'm Not Afraid Of Anything	https://www.allmusicals.com/lyrics/songsforanewworld/imnotafraidofanything.htm
The River Won't Flow	https://www.allmusicals.com/lyrics/songsforanewworld/theriverwontflow.htm
Stars And The Moon	https://www.allmusicals.com/lyrics/songsforanewworld/starsandthemoon.htm
She Cries	https://www.allmusicals.com/lyrics/songsforanewworld/shecries.htm
The Steam Train	https://www.allmusicals.com/lyrics/songsforanewworld/thesteamtrain.htm
The World Was Dancing	https://www.allmusicals.com/lyrics/songsforanewworld/theworldwasdancing.htm
Surabaya-Santa	https://www.allmusicals.com/lyrics/songsforanewworld/surabayasanta.htm
Christmas Lullaby	https://www.allmusicals.com/lyrics/songsforanewworld/christmaslullaby.htm
King Of The World	https://www.allmusicals.com/lyrics/songsforanewworld/kingoftheworld.htm
I'd Give It All For You	https://www.allmusicals.com/lyrics/songsforanewworld/idgiveitallforyou.htm
The Flagmaker, 1775	https://www.allmusicals.com/lyrics/songsforanewworld/theflagmaker1775.htm
Flying Home	https://www.allmusicals.com/lyrics/songsforanewworld/flyinghome.htm
Hear My Song	https://www.allmusicals.com/lyrics/songsforanewworld/hearmysong.htm
