song-name	url
Preludium	https://www.allmusicals.com/lyrics/soundofmusicthe/preludium.htm
Sound of Music	https://www.allmusicals.com/lyrics/soundofmusicthe/soundofmusic.htm
Maria	https://www.allmusicals.com/lyrics/soundofmusicthe/maria.htm
My Favorite Things	https://www.allmusicals.com/lyrics/soundofmusicthe/myfavoritethings.htm
Do-Re-Mi	https://www.allmusicals.com/lyrics/soundofmusicthe/doremi.htm
Sixteen Going on Seventeen	https://www.allmusicals.com/lyrics/soundofmusicthe/sixteengoingonseventeen.htm
Lonely Goatherd	https://www.allmusicals.com/lyrics/soundofmusicthe/lonelygoatherd.htm
How Can Love Survive?	https://www.allmusicals.com/lyrics/soundofmusicthe/howcanlovesurvive.htm
Sound of Music (Reprise)	https://www.allmusicals.com/lyrics/soundofmusicthe/soundofmusicreprise.htm
Landler	https://www.allmusicals.com/lyrics/soundofmusicthe/landler.htm
Something Good	https://www.allmusicals.com/lyrics/soundofmusicthe/somethinggood.htm
So Long, Farewell	https://www.allmusicals.com/lyrics/soundofmusicthe/solongfarewell.htm
Morning Hymn	https://www.allmusicals.com/lyrics/soundofmusicthe/morninghymn.htm
Climb Ev'ry Mountain	https://www.allmusicals.com/lyrics/soundofmusicthe/climbevrymountain.htm
No Way to Stop It	https://www.allmusicals.com/lyrics/soundofmusicthe/nowaytostopit.htm
Ordinary Couple	https://www.allmusicals.com/lyrics/soundofmusicthe/ordinarycouple.htm
Processional	https://www.allmusicals.com/lyrics/soundofmusicthe/processional.htm
Sixteen Going on Seventeen (Reprise)	https://www.allmusicals.com/lyrics/soundofmusicthe/sixteengoingonseventeenreprise.htm
Edelweiss	https://www.allmusicals.com/lyrics/soundofmusicthe/edelweiss.htm
Climb Ev'ry Mountain (Reprise)	https://www.allmusicals.com/lyrics/soundofmusicthe/climbevrymountainreprise.htm
I Have Confidence	https://www.allmusicals.com/lyrics/soundofmusicthe/ihaveconfidence.htm
