song-name	url
Overture	https://www.allmusicals.com/lyrics/southpacific/overture.htm
Dites-moi	https://www.allmusicals.com/lyrics/southpacific/ditesmoi.htm
A Cockeyed Optimist	https://www.allmusicals.com/lyrics/southpacific/acockeyedoptimist.htm
Twin Soliloquies	https://www.allmusicals.com/lyrics/southpacific/twinsoliloquies.htm
Some Enchanted Evening	https://www.allmusicals.com/lyrics/southpacific/someenchantedevening.htm
Bloody Mary	https://www.allmusicals.com/lyrics/southpacific/bloodymary.htm
There Is Nothin' like A Dame	https://www.allmusicals.com/lyrics/southpacific/thereisnothinlikeadame.htm
Bali Ha'i	https://www.allmusicals.com/lyrics/southpacific/balihai.htm
My Girl Back Home	https://www.allmusicals.com/lyrics/southpacific/mygirlbackhome.htm
I'm Gonna Wash that Man right outa My Hair	https://www.allmusicals.com/lyrics/southpacific/imgonnawashthatmanrightoutamyhair.htm
Younger than Springtime	https://www.allmusicals.com/lyrics/southpacific/youngerthanspringtime.htm
A Wonderful Guy	https://www.allmusicals.com/lyrics/southpacific/awonderfulguy.htm
Finale: Act I	https://www.allmusicals.com/lyrics/southpacific/finaleacti.htm
Entr'acte	https://www.allmusicals.com/lyrics/southpacific/entracte.htm
Happy Talk	https://www.allmusicals.com/lyrics/southpacific/happytalk.htm
Honey Bun	https://www.allmusicals.com/lyrics/southpacific/honeybun.htm
You've Got to Be Carefully Taught	https://www.allmusicals.com/lyrics/southpacific/youvegottobecarefullytaught.htm
This Nearly Was Mine	https://www.allmusicals.com/lyrics/southpacific/thisnearlywasmine.htm
Finale: Dites-moi (reprise)	https://www.allmusicals.com/lyrics/southpacific/finaleditesmoireprise.htm
