song-name	url
Overture / Historian's Introduction to Act One	https://www.allmusicals.com/lyrics/spamalot/overturehistoriansintroductiontoactone.htm
Finland / Fisch Schlapping Dance	https://www.allmusicals.com/lyrics/spamalot/finlandfischschlappingdance.htm
Monks' Chant/ He Is Not Dead Yet	https://www.allmusicals.com/lyrics/spamalot/monkschantheisnotdeadyet.htm
King Arthur's Song	https://www.allmusicals.com/lyrics/spamalot/kingarthurssong.htm
He Is Not Dead Yet	https://www.allmusicals.com/lyrics/spamalot/heisnotdeadyet.htm
Come With Me	https://www.allmusicals.com/lyrics/spamalot/comewithme.htm
Laker Girls Cheer	https://www.allmusicals.com/lyrics/spamalot/lakergirlscheer.htm
The Song that Goes Like This	https://www.allmusicals.com/lyrics/spamalot/thesongthatgoeslikethis.htm
All For One	https://www.allmusicals.com/lyrics/spamalot/allforone.htm
Knights of the Round Table	https://www.allmusicals.com/lyrics/spamalot/knightsoftheroundtable.htm
Find Your Grail	https://www.allmusicals.com/lyrics/spamalot/findyourgrail.htm
Run Away!	https://www.allmusicals.com/lyrics/spamalot/runaway.htm
Historian's Introduction to Act Two / Always Look On The Bright Side of Life	https://www.allmusicals.com/lyrics/spamalot/historiansintroductiontoacttwoalwayslookonthebrightsideoflife.htm
Brave Sir Robin	https://www.allmusicals.com/lyrics/spamalot/bravesirrobin.htm
You Won't Succeed On Broadway	https://www.allmusicals.com/lyrics/spamalot/youwontsucceedonbroadway.htm
Diva's Lament (Whatever Happened to My Part?)	https://www.allmusicals.com/lyrics/spamalot/divaslamentwhateverhappenedtomypart.htm
Where Are You?	https://www.allmusicals.com/lyrics/spamalot/whereareyou.htm
His Name Is Lancelot	https://www.allmusicals.com/lyrics/spamalot/hisnameislancelot.htm
I'm All Alone	https://www.allmusicals.com/lyrics/spamalot/imallalone.htm
Twice In Every Show	https://www.allmusicals.com/lyrics/spamalot/twiceineveryshow.htm
Act II Finale	https://www.allmusicals.com/lyrics/spamalot/actiifinale.htm
Always Look On the Bright Side of Life (Reprise)	https://www.allmusicals.com/lyrics/spamalot/alwayslookonthebrightsideoflifereprise.htm
