song-name	url
Bikini Bottom Day	https://www.allmusicals.com/lyrics/spongebobsquarepants/bikinibottomday.htm
No Control	https://www.allmusicals.com/lyrics/spongebobsquarepants/nocontrol.htm
BFF	https://www.allmusicals.com/lyrics/spongebobsquarepants/bff.htm
When the Going Gets Tough	https://www.allmusicals.com/lyrics/spongebobsquarepants/whenthegoinggetstough.htm
Just a Simple Sponge	https://www.allmusicals.com/lyrics/spongebobsquarepants/justasimplesponge.htm
Daddy Knows Best	https://www.allmusicals.com/lyrics/spongebobsquarepants/daddyknowsbest.htm
Hero Is My Middle Name	https://www.allmusicals.com/lyrics/spongebobsquarepants/heroismymiddlename.htm
Super Sea Star Savior	https://www.allmusicals.com/lyrics/spongebobsquarepants/superseastarsavior.htm
Tomorrow Is	https://www.allmusicals.com/lyrics/spongebobsquarepants/tomorrowis.htm
Poor Pirates	https://www.allmusicals.com/lyrics/spongebobsquarepants/poorpirates.htm
Bikini Bottom Day (Reprise)	https://www.allmusicals.com/lyrics/spongebobsquarepants/bikinibottomdayreprise.htm
Bikini Bottom Boogie	https://www.allmusicals.com/lyrics/spongebobsquarepants/bikinibottomboogie.htm
Chop to the Top	https://www.allmusicals.com/lyrics/spongebobsquarepants/choptothetop.htm
(I Guess I) Miss You	https://www.allmusicals.com/lyrics/spongebobsquarepants/iguessimissyou.htm
I'm Not a Loser	https://www.allmusicals.com/lyrics/spongebobsquarepants/imnotaloser.htm
Just a Simple Sponge (Reprise)	https://www.allmusicals.com/lyrics/spongebobsquarepants/justasimplespongereprise.htm
Best Day Ever	https://www.allmusicals.com/lyrics/spongebobsquarepants/bestdayever.htm
Finale: Bikini Bottom Day	https://www.allmusicals.com/lyrics/spongebobsquarepants/finalebikinibottomday.htm
SpongeBob SquarePants Theme Song	https://www.allmusicals.com/lyrics/spongebobsquarepants/spongebobsquarepantsthemesong.htm
