song-name	url
Mamma Who Bore Me	https://www.allmusicals.com/lyrics/springawakening/mammawhoboreme.htm
Mamma Who Bore Me (Reprise)	https://www.allmusicals.com/lyrics/springawakening/mammawhoboremereprise.htm
All That's Known	https://www.allmusicals.com/lyrics/springawakening/allthatsknown.htm
The Bitch of Living	https://www.allmusicals.com/lyrics/springawakening/thebitchofliving.htm
My Junk	https://www.allmusicals.com/lyrics/springawakening/myjunk.htm
Touch Me	https://www.allmusicals.com/lyrics/springawakening/touchme.htm
The Word of Your Body	https://www.allmusicals.com/lyrics/springawakening/thewordofyourbody.htm
The Dark I Know Well	https://www.allmusicals.com/lyrics/springawakening/thedarkiknowwell.htm
And Then There Were None	https://www.allmusicals.com/lyrics/springawakening/andthentherewerenone.htm
The Mirror-Blue Night	https://www.allmusicals.com/lyrics/springawakening/themirrorbluenight.htm
I Believe	https://www.allmusicals.com/lyrics/springawakening/ibelieve.htm
The Guilty Ones	https://www.allmusicals.com/lyrics/springawakening/theguiltyones.htm
Don't Do Sadness / Blue Wind	https://www.allmusicals.com/lyrics/springawakening/dontdosadnessbluewind.htm
Left Behind	https://www.allmusicals.com/lyrics/springawakening/leftbehind.htm
Totally F*ucked	https://www.allmusicals.com/lyrics/springawakening/totallyfucked.htm
The Word of Your Body (Reprise)	https://www.allmusicals.com/lyrics/springawakening/thewordofyourbodyreprise.htm
Whispering	https://www.allmusicals.com/lyrics/springawakening/whispering.htm
Those You've Known	https://www.allmusicals.com/lyrics/springawakening/thoseyouveknown.htm
The Song of Purple Summer	https://www.allmusicals.com/lyrics/springawakening/thesongofpurplesummer.htm
There Once Was a Pirate	https://www.allmusicals.com/lyrics/springawakening/thereoncewasapirate.htm
