song-name	url
Overture	https://www.allmusicals.com/lyrics/starlightexpress/overture.htm
Rolling Stock	https://www.allmusicals.com/lyrics/starlightexpress/rollingstock.htm
Call Me Rusty	https://www.allmusicals.com/lyrics/starlightexpress/callmerusty.htm
Rusty, You Can't Be Serious	https://www.allmusicals.com/lyrics/starlightexpress/rustyyoucantbeserious.htm
A Lotta Locomotion	https://www.allmusicals.com/lyrics/starlightexpress/alottalocomotion.htm
Pumping Iron	https://www.allmusicals.com/lyrics/starlightexpress/pumpingiron.htm
Freight	https://www.allmusicals.com/lyrics/starlightexpress/freight.htm
Entry of the National Trains	https://www.allmusicals.com/lyrics/starlightexpress/entryofthenationaltrains.htm
AC/DC	https://www.allmusicals.com/lyrics/starlightexpress/acdc.htm
He Whistled at Me	https://www.allmusicals.com/lyrics/starlightexpress/hewhistledatme.htm
Race: Heat One	https://www.allmusicals.com/lyrics/starlightexpress/raceheatone.htm
That Was Cheating	https://www.allmusicals.com/lyrics/starlightexpress/thatwascheating.htm
There's Me	https://www.allmusicals.com/lyrics/starlightexpress/theresme.htm
Poppa's Blues	https://www.allmusicals.com/lyrics/starlightexpress/poppasblues.htm
Belle the Sleeping Car	https://www.allmusicals.com/lyrics/starlightexpress/bellethesleepingcar.htm
Starlight Express Introduction	https://www.allmusicals.com/lyrics/starlightexpress/starlightexpressintroduction.htm
Race: Heat Two	https://www.allmusicals.com/lyrics/starlightexpress/raceheattwo.htm
Race: Heat Three	https://www.allmusicals.com/lyrics/starlightexpress/raceheatthree.htm
Starlight Express	https://www.allmusicals.com/lyrics/starlightexpress/starlightexpress.htm
The Rap	https://www.allmusicals.com/lyrics/starlightexpress/therap.htm
Pearl Twirl	https://www.allmusicals.com/lyrics/starlightexpress/pearltwirl.htm
U.N.C.O.U.P.L.E.D.	https://www.allmusicals.com/lyrics/starlightexpress/uncoupled.htm
Rolling Stock (Reprise)	https://www.allmusicals.com/lyrics/starlightexpress/rollingstockreprise.htm
C.B.	https://www.allmusicals.com/lyrics/starlightexpress/cb.htm
Race: Uphill Final	https://www.allmusicals.com/lyrics/starlightexpress/raceuphillfinal.htm
I Was Robbed	https://www.allmusicals.com/lyrics/starlightexpress/iwasrobbed.htm
Right Place, Right Time	https://www.allmusicals.com/lyrics/starlightexpress/rightplacerighttime.htm
I Am The Starlight	https://www.allmusicals.com/lyrics/starlightexpress/iamthestarlight.htm
He Whistled at Me (Reprise)	https://www.allmusicals.com/lyrics/starlightexpress/hewhistledatmereprise.htm
Race: Downhill Final	https://www.allmusicals.com/lyrics/starlightexpress/racedownhillfinal.htm
No Comeback	https://www.allmusicals.com/lyrics/starlightexpress/nocomeback.htm
One Rock & Roll Too Many	https://www.allmusicals.com/lyrics/starlightexpress/onerockrolltoomany.htm
Only He	https://www.allmusicals.com/lyrics/starlightexpress/onlyhe.htm
Only You	https://www.allmusicals.com/lyrics/starlightexpress/onlyyou.htm
Light at the End of the Tunnel	https://www.allmusicals.com/lyrics/starlightexpress/lightattheendofthetunnel.htm
Crazy	https://www.allmusicals.com/lyrics/starlightexpress/crazy.htm
Make Up My Heart	https://www.allmusicals.com/lyrics/starlightexpress/makeupmyheart.htm
Next Time You Fall In Love	https://www.allmusicals.com/lyrics/starlightexpress/nexttimeyoufallinlove.htm
