song-name	url
Opening	https://www.allmusicals.com/lyrics/statefair/opening.htm
It Might as Well Be Spring	https://www.allmusicals.com/lyrics/statefair/itmightaswellbespring.htm
Driving at Night/Our State Fair	https://www.allmusicals.com/lyrics/statefair/drivingatnightourstatefair.htm
That's for Me	https://www.allmusicals.com/lyrics/statefair/thatsforme.htm
More Than Just a Friend	https://www.allmusicals.com/lyrics/statefair/morethanjustafriend.htm
Isn't It Kinda Fun?	https://www.allmusicals.com/lyrics/statefair/isntitkindafun.htm
You Never Had It So Good	https://www.allmusicals.com/lyrics/statefair/youneverhaditsogood.htm
When I Go Out Walking With My Baby	https://www.allmusicals.com/lyrics/statefair/whenigooutwalkingwithmybaby.htm
So Far	https://www.allmusicals.com/lyrics/statefair/sofar.htm
It's a Grand Night for Singing	https://www.allmusicals.com/lyrics/statefair/itsagrandnightforsinging.htm
Man I Used to Be	https://www.allmusicals.com/lyrics/statefair/maniusedtobe.htm
All I Owe Ioway	https://www.allmusicals.com/lyrics/statefair/allioweioway.htm
Boys and Girls Like You and Me	https://www.allmusicals.com/lyrics/statefair/boysandgirlslikeyouandme.htm
Next Time It Happens	https://www.allmusicals.com/lyrics/statefair/nexttimeithappens.htm
