song-name	url
Prelude	https://www.allmusicals.com/lyrics/steelpier/prelude.htm
Willing To Ride	https://www.allmusicals.com/lyrics/steelpier/willingtoride.htm
Everybody Dance	https://www.allmusicals.com/lyrics/steelpier/everybodydance.htm
Second Chance	https://www.allmusicals.com/lyrics/steelpier/secondchance.htm
A Powerful Thing	https://www.allmusicals.com/lyrics/steelpier/apowerfulthing.htm
Dance With Me/The Last Girl	https://www.allmusicals.com/lyrics/steelpier/dancewithmethelastgirl.htm
The Shag	https://www.allmusicals.com/lyrics/steelpier/theshag.htm
Everybody's Girl	https://www.allmusicals.com/lyrics/steelpier/everybodysgirl.htm
Wet	https://www.allmusicals.com/lyrics/steelpier/wet.htm
Lovebird	https://www.allmusicals.com/lyrics/steelpier/lovebird.htm
The Sprints	https://www.allmusicals.com/lyrics/steelpier/thesprints.htm
Leave The World Behind	https://www.allmusicals.com/lyrics/steelpier/leavetheworldbehind.htm
Somebody Older	https://www.allmusicals.com/lyrics/steelpier/somebodyolder.htm
Running In Place	https://www.allmusicals.com/lyrics/steelpier/runninginplace.htm
Two Little Words	https://www.allmusicals.com/lyrics/steelpier/twolittlewords.htm
First You Dream	https://www.allmusicals.com/lyrics/steelpier/firstyoudream.htm
Steel Pier	https://www.allmusicals.com/lyrics/steelpier/steelpier.htm
Steel Pier (reprise)	https://www.allmusicals.com/lyrics/steelpier/steelpierreprise.htm
Final Dance	https://www.allmusicals.com/lyrics/steelpier/finaldance.htm
