song-name	url
Write What You Know	https://www.allmusicals.com/lyrics/storyofmylifethe/writewhatyouknow.htm
Mrs. Remington	https://www.allmusicals.com/lyrics/storyofmylifethe/mrsremington.htm
The Greatest Gift	https://www.allmusicals.com/lyrics/storyofmylifethe/thegreatestgift.htm
1876	https://www.allmusicals.com/lyrics/storyofmylifethe/1876.htm
Normal	https://www.allmusicals.com/lyrics/storyofmylifethe/normal.htm
The Butterfly	https://www.allmusicals.com/lyrics/storyofmylifethe/thebutterfly.htm
Independence Day	https://www.allmusicals.com/lyrics/storyofmylifethe/independenceday.htm
You're Amazing, Tom	https://www.allmusicals.com/lyrics/storyofmylifethe/youreamazingtom.htm
This Is It	https://www.allmusicals.com/lyrics/storyofmylifethe/thisisit.htm
Angels In the Snow	https://www.allmusicals.com/lyrics/storyofmylifethe/angelsinthesnow.htm
