song-name	url
Intermission Song	https://www.allmusicals.com/lyrics/strangeloop/intermissionsong.htm
Today	https://www.allmusicals.com/lyrics/strangeloop/today.htm
We Wanna Know	https://www.allmusicals.com/lyrics/strangeloop/wewannaknow.htm
Inner White Girl	https://www.allmusicals.com/lyrics/strangeloop/innerwhitegirl.htm
Didn't Want Nothin	https://www.allmusicals.com/lyrics/strangeloop/didntwantnothin.htm
Exile in Gayville	https://www.allmusicals.com/lyrics/strangeloop/exileingayville.htm
Second Wave	https://www.allmusicals.com/lyrics/strangeloop/secondwave.htm
Tyler Perry Writes Real Life	https://www.allmusicals.com/lyrics/strangeloop/tylerperrywritesreallife.htm
Writing a Gospel Play	https://www.allmusicals.com/lyrics/strangeloop/writingagospelplay.htm
A Sympathetic Ear	https://www.allmusicals.com/lyrics/strangeloop/asympatheticear.htm
Inwood Daddy	https://www.allmusicals.com/lyrics/strangeloop/inwooddaddy.htm
Boundaries	https://www.allmusicals.com/lyrics/strangeloop/boundaries.htm
Periodically	https://www.allmusicals.com/lyrics/strangeloop/periodically.htm
Didn't Want Nothin' Reprise	https://www.allmusicals.com/lyrics/strangeloop/didntwantnothinreprise.htm
Precious Little Dream / AIDS Is God's Punishment	https://www.allmusicals.com/lyrics/strangeloop/preciouslittledreamaidsisgodspunishment.htm
Memory Song	https://www.allmusicals.com/lyrics/strangeloop/memorysong.htm
A Strange Loop	https://www.allmusicals.com/lyrics/strangeloop/astrangeloop.htm
