song-name	url
When You Meet a Man in Chicago	https://www.allmusicals.com/lyrics/sugar/whenyoumeetamaninchicago.htm
Penniless Bums	https://www.allmusicals.com/lyrics/sugar/pennilessbums.htm
Tear the Town Apart	https://www.allmusicals.com/lyrics/sugar/tearthetownapart.htm
The Beauty That Drives Men Mad	https://www.allmusicals.com/lyrics/sugar/thebeautythatdrivesmenmad.htm
We Could Be Close	https://www.allmusicals.com/lyrics/sugar/wecouldbeclose.htm
Sun On My Face	https://www.allmusicals.com/lyrics/sugar/sunonmyface.htm
Sugar	https://www.allmusicals.com/lyrics/sugar/sugar.htm
November Song	https://www.allmusicals.com/lyrics/sugar/novembersong.htm
Hey, Why Not!	https://www.allmusicals.com/lyrics/sugar/heywhynot.htm
Beautiful Through And Through	https://www.allmusicals.com/lyrics/sugar/beautifulthroughandthrough.htm
What Do You Give To A Man Who's Had Everything?	https://www.allmusicals.com/lyrics/sugar/whatdoyougivetoamanwhoshadeverything.htm
It's Always Love	https://www.allmusicals.com/lyrics/sugar/itsalwayslove.htm
