song-name	url
Overture	https://www.allmusicals.com/lyrics/summerstock/overture.htm
If You Feel Like Singing, Sing	https://www.allmusicals.com/lyrics/summerstock/ifyoufeellikesingingsing.htm
Happy Harvest	https://www.allmusicals.com/lyrics/summerstock/happyharvest.htm
Dig-Dig-Dig for Your Dinner	https://www.allmusicals.com/lyrics/summerstock/digdigdigforyourdinner.htm
Mem'ry Island	https://www.allmusicals.com/lyrics/summerstock/memryisland.htm
You, Wonderful You	https://www.allmusicals.com/lyrics/summerstock/youwonderfulyou.htm
Friendly Star	https://www.allmusicals.com/lyrics/summerstock/friendlystar.htm
All for You	https://www.allmusicals.com/lyrics/summerstock/allforyou.htm
The Blue Jean Polka	https://www.allmusicals.com/lyrics/summerstock/thebluejeanpolka.htm
Get Happy	https://www.allmusicals.com/lyrics/summerstock/gethappy.htm
Happy Harvest (Finale)	https://www.allmusicals.com/lyrics/summerstock/happyharvestfinale.htm
