song-name	url
Sunday in the Park With George	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/sundayintheparkwithgeorge.htm
No Life	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/nolife.htm
Color and Light	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/colorandlight.htm
Gossip	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/gossip.htm
The Day Off	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/thedayoff.htm
Everybody Loves Louis	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/everybodyloveslouis.htm
The One on the Left	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/theoneontheleft.htm
Finishing the Hat	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/finishingthehat.htm
We Do Not Belong Together	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/wedonotbelongtogether.htm
Beautiful	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/beautiful.htm
Sunday	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/sunday.htm
It's Hot Up Here	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/itshotuphere.htm
Chromolume #7 / Putting It Together	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/chromolume7puttingittogether.htm
Children and Art	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/childrenandart.htm
Lesson 8	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/lesson8.htm
Move On	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/moveon.htm
Sunday (Reprise)	https://www.allmusicals.com/lyrics/sundayintheparkwithgeorge/sundayreprise.htm
