song-name	url
I Guess It Was 5 A.M.	https://www.allmusicals.com/lyrics/sunsetboulevard/iguessitwas5am.htm
Let's Have Lunch	https://www.allmusicals.com/lyrics/sunsetboulevard/letshavelunch.htm
Every Movie's A Circus	https://www.allmusicals.com/lyrics/sunsetboulevard/everymoviesacircus.htm
Car Chase	https://www.allmusicals.com/lyrics/sunsetboulevard/carchase.htm
At The House On Sunset	https://www.allmusicals.com/lyrics/sunsetboulevard/atthehouseonsunset.htm
Surrender	https://www.allmusicals.com/lyrics/sunsetboulevard/surrender.htm
With One Look	https://www.allmusicals.com/lyrics/sunsetboulevard/withonelook.htm
Salome	https://www.allmusicals.com/lyrics/sunsetboulevard/salome.htm
The Greatest Star Of All	https://www.allmusicals.com/lyrics/sunsetboulevard/thegreateststarofall.htm
Every Movie's A Circus (Reprise)	https://www.allmusicals.com/lyrics/sunsetboulevard/everymoviesacircusreprise.htm
Girl Meet Boy	https://www.allmusicals.com/lyrics/sunsetboulevard/girlmeetboy.htm
Back At The House On Sunset	https://www.allmusicals.com/lyrics/sunsetboulevard/backatthehouseonsunset.htm
New Ways To Dream	https://www.allmusicals.com/lyrics/sunsetboulevard/newwaystodream.htm
Completion Of The Script	https://www.allmusicals.com/lyrics/sunsetboulevard/completionofthescript.htm
The Lady's Paying	https://www.allmusicals.com/lyrics/sunsetboulevard/theladyspaying.htm
New Year's Eve	https://www.allmusicals.com/lyrics/sunsetboulevard/newyearseve.htm
The Perfect Year	https://www.allmusicals.com/lyrics/sunsetboulevard/theperfectyear.htm
This Time Next Year	https://www.allmusicals.com/lyrics/sunsetboulevard/thistimenextyear.htm
New Year's Eve (Back At The House On Sunset)	https://www.allmusicals.com/lyrics/sunsetboulevard/newyearsevebackatthehouseonsunset.htm
Entr'acte	https://www.allmusicals.com/lyrics/sunsetboulevard/entracte.htm
Sunset Boulevard	https://www.allmusicals.com/lyrics/sunsetboulevard/sunsetboulevard.htm
There's Been A Call	https://www.allmusicals.com/lyrics/sunsetboulevard/theresbeenacall.htm
Journey To Paramount	https://www.allmusicals.com/lyrics/sunsetboulevard/journeytoparamount.htm
As If We Never Said Goodbye	https://www.allmusicals.com/lyrics/sunsetboulevard/asifweneversaidgoodbye.htm
Paramount Conversations	https://www.allmusicals.com/lyrics/sunsetboulevard/paramountconversations.htm
Surrender (Reprise)	https://www.allmusicals.com/lyrics/sunsetboulevard/surrenderreprise.htm
Girl Meets Boy (Reprise)	https://www.allmusicals.com/lyrics/sunsetboulevard/girlmeetsboyreprise.htm
Eternal Youth Is Worth A Little Suffering	https://www.allmusicals.com/lyrics/sunsetboulevard/eternalyouthisworthalittlesuffering.htm
Who's Betty Schaefer?	https://www.allmusicals.com/lyrics/sunsetboulevard/whosbettyschaefer.htm
Betty's Office At Paramount	https://www.allmusicals.com/lyrics/sunsetboulevard/bettysofficeatparamount.htm
Too Much In Love To Care	https://www.allmusicals.com/lyrics/sunsetboulevard/toomuchinlovetocare.htm
New Ways To Dream (Reprise)	https://www.allmusicals.com/lyrics/sunsetboulevard/newwaystodreamreprise.htm
The Phone Call	https://www.allmusicals.com/lyrics/sunsetboulevard/thephonecall.htm
The Final Scene	https://www.allmusicals.com/lyrics/sunsetboulevard/thefinalscene.htm
Greatest Star of All (Reprise)	https://www.allmusicals.com/lyrics/sunsetboulevard/greateststarofallreprise.htm
On the Road	https://www.allmusicals.com/lyrics/sunsetboulevard/ontheroad.htm
