song-name	url
Overture	https://www.allmusicals.com/lyrics/sweetcharity/overture.htm
Charity's Theme	https://www.allmusicals.com/lyrics/sweetcharity/charitystheme.htm
You Should See Yourself	https://www.allmusicals.com/lyrics/sweetcharity/youshouldseeyourself.htm
Big Spender	https://www.allmusicals.com/lyrics/sweetcharity/bigspender.htm
Charity's Soliloquy	https://www.allmusicals.com/lyrics/sweetcharity/charityssoliloquy.htm
Rich Man's Frug	https://www.allmusicals.com/lyrics/sweetcharity/richmansfrug.htm
If My Friends Could See Me Now	https://www.allmusicals.com/lyrics/sweetcharity/ifmyfriendscouldseemenow.htm
Too Many Tomorrows	https://www.allmusicals.com/lyrics/sweetcharity/toomanytomorrows.htm
There's Gotta Be Something Better Than This	https://www.allmusicals.com/lyrics/sweetcharity/theresgottabesomethingbetterthanthis.htm
I'm the Bravest Individual	https://www.allmusicals.com/lyrics/sweetcharity/imthebravestindividual.htm
Rhythm of Life	https://www.allmusicals.com/lyrics/sweetcharity/rhythmoflife.htm
Good Impression	https://www.allmusicals.com/lyrics/sweetcharity/goodimpression.htm
Baby Dream Your Dream	https://www.allmusicals.com/lyrics/sweetcharity/babydreamyourdream.htm
Sweet Charity	https://www.allmusicals.com/lyrics/sweetcharity/sweetcharity.htm
Where Am I Going?	https://www.allmusicals.com/lyrics/sweetcharity/whereamigoing.htm
I'm a Brass Band	https://www.allmusicals.com/lyrics/sweetcharity/imabrassband.htm
I Love to Cry at Weddings	https://www.allmusicals.com/lyrics/sweetcharity/ilovetocryatweddings.htm
Finale	https://www.allmusicals.com/lyrics/sweetcharity/finale.htm
