song-name	url
It Don't Mean a Thing (If It Ain't Got That Swing)	https://www.allmusicals.com/lyrics/swing/itdontmeanathingifitaintgotthatswing.htm
Airmail Special	https://www.allmusicals.com/lyrics/swing/airmailspecial.htm
Jersey Bounce	https://www.allmusicals.com/lyrics/swing/jerseybounce.htm
Opus One	https://www.allmusicals.com/lyrics/swing/opusone.htm
Jumpin at the Woodside	https://www.allmusicals.com/lyrics/swing/jumpinatthewoodside.htm
Bounce Me, Brother (with a Solid Four)	https://www.allmusicals.com/lyrics/swing/bouncemebrotherwithasolidfour.htm
Hit Me with a Hot Note and Watch Me Bounce	https://www.allmusicals.com/lyrics/swing/hitmewithahotnoteandwatchmebounce.htm
Bli-Blip	https://www.allmusicals.com/lyrics/swing/bliblip.htm
Billy-A-Dick	https://www.allmusicals.com/lyrics/swing/billyadick.htm
Harlem Nocturne	https://www.allmusicals.com/lyrics/swing/harlemnocturne.htm
Kitchen Mechanics' Night Out	https://www.allmusicals.com/lyrics/swing/kitchenmechanicsnightout.htm
Shout and Feel It	https://www.allmusicals.com/lyrics/swing/shoutandfeelit.htm
Boogie Woogie Bugle Boy (of Company B)	https://www.allmusicals.com/lyrics/swing/boogiewoogiebugleboyofcompanyb.htm
G.I. Jive	https://www.allmusicals.com/lyrics/swing/gijive.htm
A String of Pearls	https://www.allmusicals.com/lyrics/swing/astringofpearls.htm
I Got a Gal in Kalamazoo	https://www.allmusicals.com/lyrics/swing/igotagalinkalamazoo.htm
Candy	https://www.allmusicals.com/lyrics/swing/candy.htm
I'm Gonna Love You Tonight	https://www.allmusicals.com/lyrics/swing/imgonnaloveyoutonight.htm
I'll Be Seeing You	https://www.allmusicals.com/lyrics/swing/illbeseeingyou.htm
In the Mood	https://www.allmusicals.com/lyrics/swing/inthemood.htm
Don't Sit Under the Apple Tree	https://www.allmusicals.com/lyrics/swing/dontsitundertheappletree.htm
Swing, Brother, Swing	https://www.allmusicals.com/lyrics/swing/swingbrotherswing.htm
Caravan	https://www.allmusicals.com/lyrics/swing/caravan.htm
Dancers in Love	https://www.allmusicals.com/lyrics/swing/dancersinlove.htm
Cry Me a River	https://www.allmusicals.com/lyrics/swing/crymeariver.htm
Blues in the Night	https://www.allmusicals.com/lyrics/swing/bluesinthenight.htm
Take Me Back To Tulsa	https://www.allmusicals.com/lyrics/swing/takemebacktotulsa.htm
Boogie Woogie Country Girl	https://www.allmusicals.com/lyrics/swing/boogiewoogiecountrygirl.htm
All of Me	https://www.allmusicals.com/lyrics/swing/allofme.htm
I Won't Dance	https://www.allmusicals.com/lyrics/swing/iwontdance.htm
Bill's Bounce	https://www.allmusicals.com/lyrics/swing/billsbounce.htm
Stay A Little Longer	https://www.allmusicals.com/lyrics/swing/stayalittlelonger.htm
Stompin' at the Savoy	https://www.allmusicals.com/lyrics/swing/stompinatthesavoy.htm
Sing, Sing, Sing	https://www.allmusicals.com/lyrics/swing/singsingsing.htm
