song-name	url
Ode to Attention Seekers	https://www.allmusicals.com/lyrics/taboo/odetoattentionseekers.htm
Stranger in This World	https://www.allmusicals.com/lyrics/taboo/strangerinthisworld.htm
Safe in the City	https://www.allmusicals.com/lyrics/taboo/safeinthecity.htm
Shelter	https://www.allmusicals.com/lyrics/taboo/shelter.htm
Genocide Peroxide	https://www.allmusicals.com/lyrics/taboo/genocideperoxide.htm
I'll Have You All	https://www.allmusicals.com/lyrics/taboo/illhaveyouall.htm
Touched By The Hand Of Cool	https://www.allmusicals.com/lyrics/taboo/touchedbythehandofcool.htm
Pretty Lies	https://www.allmusicals.com/lyrics/taboo/prettylies.htm
Guttersnipe	https://www.allmusicals.com/lyrics/taboo/guttersnipe.htm
Love Is A Question Mark	https://www.allmusicals.com/lyrics/taboo/loveisaquestionmark.htm
Do You Really Want To Hurt Me	https://www.allmusicals.com/lyrics/taboo/doyoureallywanttohurtme.htm
Church of the Poison Mind	https://www.allmusicals.com/lyrics/taboo/churchofthepoisonmind.htm
Everything Taboo	https://www.allmusicals.com/lyrics/taboo/everythingtaboo.htm
Talk Amongst Yourselves	https://www.allmusicals.com/lyrics/taboo/talkamongstyourselves.htm
Independent Woman	https://www.allmusicals.com/lyrics/taboo/independentwoman.htm
I See Through You	https://www.allmusicals.com/lyrics/taboo/iseethroughyou.htm
Ich Bin Kunst	https://www.allmusicals.com/lyrics/taboo/ichbinkunst.htm
Petrified	https://www.allmusicals.com/lyrics/taboo/petrified.htm
Out Of Fashion	https://www.allmusicals.com/lyrics/taboo/outoffashion.htm
Il Adore	https://www.allmusicals.com/lyrics/taboo/iladore.htm
Pie In The Sky	https://www.allmusicals.com/lyrics/taboo/pieinthesky.htm
