song-name	url
The Shadows of the Night	https://www.allmusicals.com/lyrics/taleoftwocitiesa/theshadowsofthenight.htm
The Way It Ought to Be	https://www.allmusicals.com/lyrics/taleoftwocitiesa/thewayitoughttobe.htm
Who Are You / You'll Never Be Alone	https://www.allmusicals.com/lyrics/taleoftwocitiesa/whoareyouyoullneverbealone.htm
No Honest Way	https://www.allmusicals.com/lyrics/taleoftwocitiesa/nohonestway.htm
The Trial	https://www.allmusicals.com/lyrics/taleoftwocitiesa/thetrial.htm
Round and Round	https://www.allmusicals.com/lyrics/taleoftwocitiesa/roundandround.htm
Reflection	https://www.allmusicals.com/lyrics/taleoftwocitiesa/reflection.htm
The Promise	https://www.allmusicals.com/lyrics/taleoftwocitiesa/thepromise.htm
I Can't Recall	https://www.allmusicals.com/lyrics/taleoftwocitiesa/icantrecall.htm
Resurrection Man	https://www.allmusicals.com/lyrics/taleoftwocitiesa/resurrectionman.htm
If Dreams Came True	https://www.allmusicals.com/lyrics/taleoftwocitiesa/ifdreamscametrue.htm
Out of Sight, Out of Mind	https://www.allmusicals.com/lyrics/taleoftwocitiesa/outofsightoutofmind.htm
Little One	https://www.allmusicals.com/lyrics/taleoftwocitiesa/littleone.htm
Until Tomorrow	https://www.allmusicals.com/lyrics/taleoftwocitiesa/untiltomorrow.htm
Everything Stays the Same	https://www.allmusicals.com/lyrics/taleoftwocitiesa/everythingstaysthesame.htm
The Tale	https://www.allmusicals.com/lyrics/taleoftwocitiesa/thetale.htm
If Dreams Came True (Reprise)	https://www.allmusicals.com/lyrics/taleoftwocitiesa/ifdreamscametruereprise.htm
Without a Word	https://www.allmusicals.com/lyrics/taleoftwocitiesa/withoutaword.htm
The Bluff	https://www.allmusicals.com/lyrics/taleoftwocitiesa/thebluff.htm
Let Her Be a Child	https://www.allmusicals.com/lyrics/taleoftwocitiesa/letherbeachild.htm
Finale	https://www.allmusicals.com/lyrics/taleoftwocitiesa/finale.htm
It Won't Be Long	https://www.allmusicals.com/lyrics/taleoftwocitiesa/itwontbelong.htm
Up In the Garret	https://www.allmusicals.com/lyrics/taleoftwocitiesa/upinthegarret.htm
All In My Mind	https://www.allmusicals.com/lyrics/taleoftwocitiesa/allinmymind.htm
No One Else	https://www.allmusicals.com/lyrics/taleoftwocitiesa/nooneelse.htm
