song-name	url
Take That Look Off Your Face	https://www.allmusicals.com/lyrics/tellmeonasunday/takethatlookoffyourface.htm
Let Me Finish	https://www.allmusicals.com/lyrics/tellmeonasunday/letmefinish.htm
It's Not the End of the World	https://www.allmusicals.com/lyrics/tellmeonasunday/itsnottheendoftheworld.htm
Letter Home To England	https://www.allmusicals.com/lyrics/tellmeonasunday/letterhometoengland.htm
Sheldon Bloom	https://www.allmusicals.com/lyrics/tellmeonasunday/sheldonbloom.htm
Capped Teeth And Caesar Salad	https://www.allmusicals.com/lyrics/tellmeonasunday/cappedteethandcaesarsalad.htm
You Made Me Think You Were In Love	https://www.allmusicals.com/lyrics/tellmeonasunday/youmademethinkyouwereinlove.htm
Second Letter Home	https://www.allmusicals.com/lyrics/tellmeonasunday/secondletterhome.htm
Come Back With The Same Look In Your Eyes	https://www.allmusicals.com/lyrics/tellmeonasunday/comebackwiththesamelookinyoureyes.htm
Let's Talk About You	https://www.allmusicals.com/lyrics/tellmeonasunday/letstalkaboutyou.htm
Tell Me On A Sunday	https://www.allmusicals.com/lyrics/tellmeonasunday/tellmeonasunday.htm
I'm Very You, You're Very Me	https://www.allmusicals.com/lyrics/tellmeonasunday/imveryyouyoureveryme.htm
Nothing Like You've Ever Known	https://www.allmusicals.com/lyrics/tellmeonasunday/nothinglikeyouveeverknown.htm
Let Me Finish (Reprise)	https://www.allmusicals.com/lyrics/tellmeonasunday/letmefinishreprise.htm
Capped Teeth And Caesar Salad	https://www.allmusicals.com/lyrics/tellmeonasunday/cappedteethandcaesarsalad.htm
Letter Home To England	https://www.allmusicals.com/lyrics/tellmeonasunday/letterhometoengland.htm
