song-name	url
The Night Before	https://www.allmusicals.com/lyrics/thatswhatkidsdo/thenightbefore.htm
That's What Kids Do! 1	https://www.allmusicals.com/lyrics/thatswhatkidsdo/thatswhatkidsdo1.htm
Long Walk from Kindergarten	https://www.allmusicals.com/lyrics/thatswhatkidsdo/longwalkfromkindergarten.htm
Cool	https://www.allmusicals.com/lyrics/thatswhatkidsdo/cool.htm
She'd Appreciate It	https://www.allmusicals.com/lyrics/thatswhatkidsdo/shedappreciateit.htm
Give the Girls a Break!	https://www.allmusicals.com/lyrics/thatswhatkidsdo/givethegirlsabreak.htm
Our Way	https://www.allmusicals.com/lyrics/thatswhatkidsdo/ourway.htm
Cafeteria Food	https://www.allmusicals.com/lyrics/thatswhatkidsdo/cafeteriafood.htm
In My Room	https://www.allmusicals.com/lyrics/thatswhatkidsdo/inmyroom.htm
Homework Blues	https://www.allmusicals.com/lyrics/thatswhatkidsdo/homeworkblues.htm
The Party	https://www.allmusicals.com/lyrics/thatswhatkidsdo/theparty.htm
Summer Sun	https://www.allmusicals.com/lyrics/thatswhatkidsdo/summersun.htm
The Note	https://www.allmusicals.com/lyrics/thatswhatkidsdo/thenote.htm
Shout the Message!	https://www.allmusicals.com/lyrics/thatswhatkidsdo/shoutthemessage.htm
