song-name	url
Falling	https://www.allmusicals.com/lyrics/theyreplayingoursong/falling.htm
Workin' It Out	https://www.allmusicals.com/lyrics/theyreplayingoursong/workinitout.htm
If He Really Knew Me	https://www.allmusicals.com/lyrics/theyreplayingoursong/ifhereallyknewme.htm
They're Playing My Song (His)	https://www.allmusicals.com/lyrics/theyreplayingoursong/theyreplayingmysonghis.htm
They're Playing My Song (Hers)	https://www.allmusicals.com/lyrics/theyreplayingoursong/theyreplayingmysonghers.htm
If He Really Knew Me (Reprise)	https://www.allmusicals.com/lyrics/theyreplayingoursong/ifhereallyknewmereprise.htm
Right	https://www.allmusicals.com/lyrics/theyreplayingoursong/right.htm
Just For Tonight	https://www.allmusicals.com/lyrics/theyreplayingoursong/justfortonight.htm
When You're In My Arms	https://www.allmusicals.com/lyrics/theyreplayingoursong/whenyoureinmyarms.htm
I Still Believe In Love	https://www.allmusicals.com/lyrics/theyreplayingoursong/istillbelieveinlove.htm
Fill In The Words	https://www.allmusicals.com/lyrics/theyreplayingoursong/fillinthewords.htm
They're Playing Our Song (The Bows)	https://www.allmusicals.com/lyrics/theyreplayingoursong/theyreplayingoursongthebows.htm
