song-name	url
Overture	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/overture.htm
Not for the Life of Me	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/notforthelifeofme.htm
Thoroughly Modern Millie	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/thoroughlymodernmillie.htm
Not for the Life of Me (Tag)	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/notforthelifeofmetag.htm
How the Other Half Lives	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/howtheotherhalflives.htm
Not for the Life of Me (reprise)	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/notforthelifeofmereprise.htm
The Speed Test	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/thespeedtest.htm
They Don't Know	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/theydontknow.htm
The Nuttycracker Suite (Orchestra)	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/thenuttycrackersuiteorchestra.htm
What Do I Need with Love?	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/whatdoineedwithlove.htm
Only in New York	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/onlyinnewyork.htm
Jimmy	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/jimmy.htm
Back at Work	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/backatwork.htm
Forget About the Boy	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/forgetabouttheboy.htm
Ah! Sweet Mystery of Life	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/ahsweetmysteryoflife.htm
I Turned the Corner	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/iturnedthecorner.htm
Muqin	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/muqin.htm
Long as I'm Here with You	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/longasimherewithyou.htm
Gimme Gimme	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/gimmegimme.htm
Finale	https://www.allmusicals.com/lyrics/thoroughlymodernmillie/finale.htm
