song-name	url
Prologue	https://www.allmusicals.com/lyrics/threepennyopera/prologue.htm
Overture	https://www.allmusicals.com/lyrics/threepennyopera/overture.htm
The Ballad of Mack the Knife	https://www.allmusicals.com/lyrics/threepennyopera/theballadofmacktheknife.htm
Morning Anthem	https://www.allmusicals.com/lyrics/threepennyopera/morninganthem.htm
Instead Of Song	https://www.allmusicals.com/lyrics/threepennyopera/insteadofsong.htm
Wedding Song	https://www.allmusicals.com/lyrics/threepennyopera/weddingsong.htm
Pirate Jenny	https://www.allmusicals.com/lyrics/threepennyopera/piratejenny.htm
Army Song	https://www.allmusicals.com/lyrics/threepennyopera/armysong.htm
Love Song	https://www.allmusicals.com/lyrics/threepennyopera/lovesong.htm
Ballad of Dependency	https://www.allmusicals.com/lyrics/threepennyopera/balladofdependency.htm
Melodrama/Polly’s Song	https://www.allmusicals.com/lyrics/threepennyopera/melodramapollyssong.htm
Ballad of the Easy Life	https://www.allmusicals.com/lyrics/threepennyopera/balladoftheeasylife.htm
The World Is Mean	https://www.allmusicals.com/lyrics/threepennyopera/theworldismean.htm
Barbara Song	https://www.allmusicals.com/lyrics/threepennyopera/barbarasong.htm
Tango Ballad	https://www.allmusicals.com/lyrics/threepennyopera/tangoballad.htm
Jealousy Duet	https://www.allmusicals.com/lyrics/threepennyopera/jealousyduet.htm
How to Survive	https://www.allmusicals.com/lyrics/threepennyopera/howtosurvive.htm
Useless Song	https://www.allmusicals.com/lyrics/threepennyopera/uselesssong.htm
Solomon Song	https://www.allmusicals.com/lyrics/threepennyopera/solomonsong.htm
Call from the Grave	https://www.allmusicals.com/lyrics/threepennyopera/callfromthegrave.htm
Death Message	https://www.allmusicals.com/lyrics/threepennyopera/deathmessage.htm
Finale: The Mounted Messenger	https://www.allmusicals.com/lyrics/threepennyopera/finalethemountedmessenger.htm
