song-name	url
30/90	https://www.allmusicals.com/lyrics/ticktickboom/3090.htm
Green Green Dress	https://www.allmusicals.com/lyrics/ticktickboom/greengreendress.htm
Johnny Can't Decide	https://www.allmusicals.com/lyrics/ticktickboom/johnnycantdecide.htm
Sunday	https://www.allmusicals.com/lyrics/ticktickboom/sunday.htm
No More	https://www.allmusicals.com/lyrics/ticktickboom/nomore.htm
Therapy	https://www.allmusicals.com/lyrics/ticktickboom/therapy.htm
Real Life	https://www.allmusicals.com/lyrics/ticktickboom/reallife.htm
Sugar	https://www.allmusicals.com/lyrics/ticktickboom/sugar.htm
See Her Smile	https://www.allmusicals.com/lyrics/ticktickboom/seehersmile.htm
Come To Your Senses	https://www.allmusicals.com/lyrics/ticktickboom/cometoyoursenses.htm
Why	https://www.allmusicals.com/lyrics/ticktickboom/why.htm
Louder Than Words	https://www.allmusicals.com/lyrics/ticktickboom/louderthanwords.htm
Boho Days	https://www.allmusicals.com/lyrics/ticktickboom/bohodays.htm
30/90 Playout	https://www.allmusicals.com/lyrics/ticktickboom/3090playout.htm
