song-name	url
Overture In Every Age	https://www.allmusicals.com/lyrics/titanic/overtureineveryage.htm
How Did They Build Titanic?	https://www.allmusicals.com/lyrics/titanic/howdidtheybuildtitanic.htm
Fare-thee-well	https://www.allmusicals.com/lyrics/titanic/faretheewell.htm
There She Is	https://www.allmusicals.com/lyrics/titanic/theresheis.htm
I Must Get On That Ship	https://www.allmusicals.com/lyrics/titanic/imustgetonthatship.htm
The 1st Class Roster	https://www.allmusicals.com/lyrics/titanic/the1stclassroster.htm
Godspeed Titanic	https://www.allmusicals.com/lyrics/titanic/godspeedtitanic.htm
Barrett's Song	https://www.allmusicals.com/lyrics/titanic/barrettssong.htm
What A Remarkable Age This Is	https://www.allmusicals.com/lyrics/titanic/whataremarkableagethisis.htm
To Be A Captain	https://www.allmusicals.com/lyrics/titanic/tobeacaptain.htm
Lady's Maid	https://www.allmusicals.com/lyrics/titanic/ladysmaid.htm
The Proposal/ The Night Was Alive	https://www.allmusicals.com/lyrics/titanic/theproposalthenightwasalive.htm
Hymn/ Doing The Latest Rag	https://www.allmusicals.com/lyrics/titanic/hymndoingthelatestrag.htm
I Have Danced	https://www.allmusicals.com/lyrics/titanic/ihavedanced.htm
No Moon	https://www.allmusicals.com/lyrics/titanic/nomoon.htm
Autumn / Finale Act 1	https://www.allmusicals.com/lyrics/titanic/autumnfinaleact1.htm
Dressed In Your Pyjamas In The Grand Salon	https://www.allmusicals.com/lyrics/titanic/dressedinyourpyjamasinthegrandsalon.htm
The Blame	https://www.allmusicals.com/lyrics/titanic/theblame.htm
To The Lifeboats	https://www.allmusicals.com/lyrics/titanic/tothelifeboats.htm
We'll Meet Tomorrow	https://www.allmusicals.com/lyrics/titanic/wellmeettomorrow.htm
Still	https://www.allmusicals.com/lyrics/titanic/still.htm
To Be A Captain (reprise)	https://www.allmusicals.com/lyrics/titanic/tobeacaptainreprise.htm
Mr. Andrews' Vision	https://www.allmusicals.com/lyrics/titanic/mrandrewsvision.htm
Epilogue: In Every Age	https://www.allmusicals.com/lyrics/titanic/epilogueineveryage.htm
