song-name	url
Overture	https://www.allmusicals.com/lyrics/tootsie/overture.htm
Opening Number	https://www.allmusicals.com/lyrics/tootsie/openingnumber.htm
Whaddya Do	https://www.allmusicals.com/lyrics/tootsie/whaddyado.htm
What's Gonna Happen	https://www.allmusicals.com/lyrics/tootsie/whatsgonnahappen.htm
Whaddya Do (Reprise)	https://www.allmusicals.com/lyrics/tootsie/whaddyadoreprise.htm
I Won't Let You Down	https://www.allmusicals.com/lyrics/tootsie/iwontletyoudown.htm
I'm Alive	https://www.allmusicals.com/lyrics/tootsie/imalive.htm
There Was John	https://www.allmusicals.com/lyrics/tootsie/therewasjohn.htm
I Like What She's Doing	https://www.allmusicals.com/lyrics/tootsie/ilikewhatshesdoing.htm
Who Are You?	https://www.allmusicals.com/lyrics/tootsie/whoareyou.htm
What's Gonna Happen (Reprise)	https://www.allmusicals.com/lyrics/tootsie/whatsgonnahappenreprise.htm
Unstoppable	https://www.allmusicals.com/lyrics/tootsie/unstoppable.htm
Entr'acte	https://www.allmusicals.com/lyrics/tootsie/entracte.htm
Jeff Sums It Up	https://www.allmusicals.com/lyrics/tootsie/jeffsumsitup.htm
Gone, Gone, Gone	https://www.allmusicals.com/lyrics/tootsie/gonegonegone.htm
Who Are You? (Reprise)	https://www.allmusicals.com/lyrics/tootsie/whoareyoureprise.htm
This Thing	https://www.allmusicals.com/lyrics/tootsie/thisthing.htm
Whaddya Do (Reprise 2)	https://www.allmusicals.com/lyrics/tootsie/whaddyadoreprise2.htm
The Most Important Night of My Life	https://www.allmusicals.com/lyrics/tootsie/themostimportantnightofmylife.htm
Talk to Me Dorothy	https://www.allmusicals.com/lyrics/tootsie/talktomedorothy.htm
Arrivederci!	https://www.allmusicals.com/lyrics/tootsie/arrivederci.htm
Thank You	https://www.allmusicals.com/lyrics/tootsie/thankyou.htm
