song-name	url
Anything	https://www.allmusicals.com/lyrics/triumphoflove/anything.htm
The Bond That Can't Be Broken	https://www.allmusicals.com/lyrics/triumphoflove/thebondthatcantbebroken.htm
Mr. Right	https://www.allmusicals.com/lyrics/triumphoflove/mrright.htm
You May Call Me Phonicon	https://www.allmusicals.com/lyrics/triumphoflove/youmaycallmephonicon.htm
The Sad and Sordid Saga of Cecile	https://www.allmusicals.com/lyrics/triumphoflove/thesadandsordidsagaofcecile.htm
Serenity	https://www.allmusicals.com/lyrics/triumphoflove/serenity.htm
Issue in Question	https://www.allmusicals.com/lyrics/triumphoflove/issueinquestion.htm
Teach Me Not to Love You	https://www.allmusicals.com/lyrics/triumphoflove/teachmenottoloveyou.htm
The Tree	https://www.allmusicals.com/lyrics/triumphoflove/thetree.htm
What Have I Done?	https://www.allmusicals.com/lyrics/triumphoflove/whathaveidone.htm
Henchmen Are Forgotten	https://www.allmusicals.com/lyrics/triumphoflove/henchmenareforgotten.htm
Love Won't Take No for an Answer	https://www.allmusicals.com/lyrics/triumphoflove/lovewonttakenoforananswer.htm
Finale	https://www.allmusicals.com/lyrics/triumphoflove/finale.htm
