song-name	url
Live Like This	https://www.allmusicals.com/lyrics/tuckeverlasting/livelikethis.htm
Good Girl, Winnie Foster	https://www.allmusicals.com/lyrics/tuckeverlasting/goodgirlwinniefoster.htm
Join the Parade	https://www.allmusicals.com/lyrics/tuckeverlasting/jointheparade.htm
Good Girl, Winnie Foster (Reprise)	https://www.allmusicals.com/lyrics/tuckeverlasting/goodgirlwinniefosterreprise.htm
Top of the World	https://www.allmusicals.com/lyrics/tuckeverlasting/topoftheworld.htm
Hugo's First Case	https://www.allmusicals.com/lyrics/tuckeverlasting/hugosfirstcase.htm
Story of the Tucks	https://www.allmusicals.com/lyrics/tuckeverlasting/storyofthetucks.htm
My Most Beautiful Day	https://www.allmusicals.com/lyrics/tuckeverlasting/mymostbeautifulday.htm
The Attic	https://www.allmusicals.com/lyrics/tuckeverlasting/theattic.htm
Partner in Crime	https://www.allmusicals.com/lyrics/tuckeverlasting/partnerincrime.htm
Seventeen	https://www.allmusicals.com/lyrics/tuckeverlasting/seventeen.htm
Everything’s Golden	https://www.allmusicals.com/lyrics/tuckeverlasting/everythingsgolden.htm
Seventeen (Reprise)	https://www.allmusicals.com/lyrics/tuckeverlasting/seventeenreprise.htm
Time	https://www.allmusicals.com/lyrics/tuckeverlasting/time.htm
Everything's Golden (Reprise)	https://www.allmusicals.com/lyrics/tuckeverlasting/everythingsgoldenreprise.htm
You Can’t Trust a Man	https://www.allmusicals.com/lyrics/tuckeverlasting/youcanttrustaman.htm
The Wheel	https://www.allmusicals.com/lyrics/tuckeverlasting/thewheel.htm
Story of the Man in the Yellow Suit	https://www.allmusicals.com/lyrics/tuckeverlasting/storyofthemanintheyellowsuit.htm
Everlasting	https://www.allmusicals.com/lyrics/tuckeverlasting/everlasting.htm
The Story of Winnie Foster	https://www.allmusicals.com/lyrics/tuckeverlasting/thestoryofwinniefoster.htm
The Wheel (Reprise)	https://www.allmusicals.com/lyrics/tuckeverlasting/thewheelreprise.htm
