song-name	url
Summer, Summer	https://www.allmusicals.com/lyrics/twogentlemenofverona/summersummer.htm
I Love My Father	https://www.allmusicals.com/lyrics/twogentlemenofverona/ilovemyfather.htm
That's A Very Interesting Question	https://www.allmusicals.com/lyrics/twogentlemenofverona/thatsaveryinterestingquestion.htm
I'd Like To Be A Rose	https://www.allmusicals.com/lyrics/twogentlemenofverona/idliketobearose.htm
Thou Julia, Thou Has Metamorphosed Me	https://www.allmusicals.com/lyrics/twogentlemenofverona/thoujuliathouhasmetamorphosedme.htm
Symphony	https://www.allmusicals.com/lyrics/twogentlemenofverona/symphony.htm
I Am Not Interested In Love	https://www.allmusicals.com/lyrics/twogentlemenofverona/iamnotinterestedinlove.htm
Love, Is That You?	https://www.allmusicals.com/lyrics/twogentlemenofverona/loveisthatyou.htm
Thou, Proteus, Thou Has Metamorphosed Me	https://www.allmusicals.com/lyrics/twogentlemenofverona/thouproteusthouhasmetamorphosedme.htm
What Does A Lover Pack?	https://www.allmusicals.com/lyrics/twogentlemenofverona/whatdoesaloverpack.htm
Pearls	https://www.allmusicals.com/lyrics/twogentlemenofverona/pearls.htm
I Love My Father (Reprise)	https://www.allmusicals.com/lyrics/twogentlemenofverona/ilovemyfatherreprise.htm
Two Gentlemen Of Verona	https://www.allmusicals.com/lyrics/twogentlemenofverona/twogentlemenofverona.htm
Follow The Rainbow	https://www.allmusicals.com/lyrics/twogentlemenofverona/followtherainbow.htm
Where's North?	https://www.allmusicals.com/lyrics/twogentlemenofverona/wheresnorth.htm
Bring All The Boys Back Home	https://www.allmusicals.com/lyrics/twogentlemenofverona/bringalltheboysbackhome.htm
To whom It May Concern	https://www.allmusicals.com/lyrics/twogentlemenofverona/towhomitmayconcern.htm
Night Letter	https://www.allmusicals.com/lyrics/twogentlemenofverona/nightletter.htm
Love's Revenge	https://www.allmusicals.com/lyrics/twogentlemenofverona/lovesrevenge.htm
Calla Lily Lady	https://www.allmusicals.com/lyrics/twogentlemenofverona/callalilylady.htm
Land Of Betrayal	https://www.allmusicals.com/lyrics/twogentlemenofverona/landofbetrayal.htm
Thurio's Samba	https://www.allmusicals.com/lyrics/twogentlemenofverona/thuriossamba.htm
Hot Lover	https://www.allmusicals.com/lyrics/twogentlemenofverona/hotlover.htm
What A Nice Idea	https://www.allmusicals.com/lyrics/twogentlemenofverona/whataniceidea.htm
Love Me	https://www.allmusicals.com/lyrics/twogentlemenofverona/loveme.htm
Eglamour	https://www.allmusicals.com/lyrics/twogentlemenofverona/eglamour.htm
Kidnapped	https://www.allmusicals.com/lyrics/twogentlemenofverona/kidnapped.htm
Mansion	https://www.allmusicals.com/lyrics/twogentlemenofverona/mansion.htm
What's A Nice Girl Like Her	https://www.allmusicals.com/lyrics/twogentlemenofverona/whatsanicegirllikeher.htm
Dragon Fight	https://www.allmusicals.com/lyrics/twogentlemenofverona/dragonfight.htm
Don't Have A Baby	https://www.allmusicals.com/lyrics/twogentlemenofverona/donthaveababy.htm
Love's Revenge (Reprise)	https://www.allmusicals.com/lyrics/twogentlemenofverona/lovesrevengereprise.htm
Love Has Driven Me Sane	https://www.allmusicals.com/lyrics/twogentlemenofverona/lovehasdrivenmesane.htm
