song-name	url
Overture	https://www.allmusicals.com/lyrics/urinetown/overture.htm
Too Much Exposition	https://www.allmusicals.com/lyrics/urinetown/toomuchexposition.htm
Urinetown	https://www.allmusicals.com/lyrics/urinetown/urinetown.htm
It's A Privelege To Pee	https://www.allmusicals.com/lyrics/urinetown/itsaprivelegetopee.htm
Mr. Cladwell	https://www.allmusicals.com/lyrics/urinetown/mrcladwell.htm
Cop Song	https://www.allmusicals.com/lyrics/urinetown/copsong.htm
Follow Your Heart	https://www.allmusicals.com/lyrics/urinetown/followyourheart.htm
Look At The Sky	https://www.allmusicals.com/lyrics/urinetown/lookatthesky.htm
Don't Be The Bunny	https://www.allmusicals.com/lyrics/urinetown/dontbethebunny.htm
Act One Finale	https://www.allmusicals.com/lyrics/urinetown/actonefinale.htm
What Is Urinetown?	https://www.allmusicals.com/lyrics/urinetown/whatisurinetown.htm
Snuff That Girl	https://www.allmusicals.com/lyrics/urinetown/snuffthatgirl.htm
Run, Freedom, Run!	https://www.allmusicals.com/lyrics/urinetown/runfreedomrun.htm
Why Did I Listen To That Man?	https://www.allmusicals.com/lyrics/urinetown/whydidilistentothatman.htm
Tell Her I Love Her	https://www.allmusicals.com/lyrics/urinetown/tellheriloveher.htm
We're Not Sorry	https://www.allmusicals.com/lyrics/urinetown/werenotsorry.htm
We're Not Sorry (reprise)	https://www.allmusicals.com/lyrics/urinetown/werenotsorryreprise.htm
I See A River	https://www.allmusicals.com/lyrics/urinetown/iseeariver.htm
